# == pyFAI calibration ==
# Distance Sample to Detector: 0.158963311583 m
# PONI: 1.062e-01, 8.212e-02 m
# Rotations: -0.004467 -0.004617 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 158.967 mm
# Center: x=481.577, y=613.006 pix
# Tilt: 0.368 deg  TiltPlanRot: -45.941 deg
# 
# Detector Pilatus CdTe 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 7.10511159865e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /home/diffmin/imagedata/221007_group1/unknown/unknown_0006.dat
#       2th_deg             I 
  2.643655e+01    3.305396e+00
  2.651669e+01    3.331810e+00
  2.659683e+01    3.253021e+00
  2.667697e+01    3.335080e+00
  2.675710e+01    3.294031e+00
  2.683724e+01    3.349401e+00
  2.691738e+01    3.313986e+00
  2.699752e+01    3.277690e+00
  2.707766e+01    3.361051e+00
  2.715780e+01    3.383965e+00
  2.723793e+01    3.330164e+00
  2.731807e+01    3.322136e+00
  2.739821e+01    3.279638e+00
  2.747835e+01    3.377326e+00
  2.755849e+01    6.001797e+01
  2.763863e+01    3.331610e+00
  2.771876e+01    3.298010e+00
  2.779890e+01    3.270265e+00
  2.787904e+01    3.361675e+00
  2.795918e+01    3.484481e+00
  2.803932e+01    3.520698e+00
  2.811945e+01    3.479126e+00
  2.819959e+01    3.638052e+00
  2.827973e+01    3.588632e+00
  2.835987e+01    3.681141e+00
  2.844001e+01    3.924857e+00
  2.852015e+01    4.112253e+00
  2.860028e+01    4.404292e+00
  2.868042e+01    5.339592e+00
  2.876056e+01    7.133765e+00
  2.884070e+01    1.085210e+01
  2.892084e+01    1.259897e+01
  2.900097e+01    1.161940e+01
  2.908111e+01    9.566931e+00
  2.916125e+01    7.280817e+00
  2.924139e+01    5.416722e+00
  2.932153e+01    4.460754e+00
  2.940167e+01    4.039809e+00
  2.948180e+01    3.764175e+00
  2.956194e+01    3.603804e+00
  2.964208e+01    3.559316e+00
  2.972222e+01    3.417124e+00
  2.980236e+01    3.512074e+00
  2.988250e+01    3.515786e+00
  2.996263e+01    3.225027e+00
  3.004277e+01    3.180900e+00
  3.012291e+01    3.243653e+00
  3.020305e+01    3.343744e+00
  3.028319e+01    3.191751e+00
  3.036332e+01    3.253234e+00
  3.044346e+01    3.283814e+00
  3.052360e+01    3.131217e+00
  3.060374e+01    3.329098e+00
  3.068388e+01    3.095964e+00
  3.076402e+01    3.111662e+00
  3.084415e+01    3.104497e+00
  3.092429e+01    3.172039e+00
  3.100443e+01    3.151200e+00
  3.108457e+01    3.100698e+00
  3.116471e+01    3.046116e+00
  3.124484e+01    3.050179e+00
  3.132498e+01    3.131110e+00
  3.140512e+01    3.138795e+00
  3.148526e+01    3.171196e+00
  3.156540e+01    3.061045e+00
  3.164554e+01    3.050785e+00
  3.172567e+01    3.131964e+00
  3.180581e+01    3.073098e+00
  3.188595e+01    3.065920e+00
  3.196609e+01    3.040441e+00
  3.204623e+01    3.079568e+00
  3.212637e+01    3.185313e+00
  3.220650e+01    3.045122e+00
  3.228664e+01    3.121449e+00
  3.236678e+01    3.129804e+00
  3.244692e+01    3.058929e+00
  3.252706e+01    3.074886e+00
  3.260719e+01    3.084006e+00
  3.268733e+01    3.018681e+00
  3.276747e+01    3.153698e+00
  3.284761e+01    3.167165e+00
  3.292775e+01    3.200397e+00
  3.300789e+01    3.186315e+00
  3.308802e+01    4.123326e+00
  3.316816e+01    3.219785e+00
  3.324830e+01    3.263851e+00
  3.332844e+01    3.411188e+00
  3.340858e+01    3.401258e+00
  3.348872e+01    3.363470e+00
  3.356885e+01    3.852556e+00
  3.364899e+01    4.027474e+00
