# == pyFAI calibration ==
# Distance Sample to Detector: 0.158963311583 m
# PONI: 1.062e-01, 8.212e-02 m
# Rotations: -0.004467 -0.004617 0.000000 rad
#
# == Fit2d calibration ==
# Distance Sample-beamCenter: 158.967 mm
# Center: x=481.577, y=613.006 pix
# Tilt: 0.368 deg  TiltPlanRot: -45.941 deg
#
# Detector Pilatus CdTe 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True
#    Detector has a dark current: False
#    detector has a flat field: False
#
# Wavelength: 7.10511159865e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /home/diffmin/imagedata/221007_group1/unknown/unknown_0004.dat
#       2th_deg             I
  2.275019e+01    4.509527e+00
  2.283033e+01    4.392290e+00
  2.291047e+01    4.459427e+00
  2.299061e+01    4.553907e+00
  2.307075e+01    4.557758e+00
  2.315088e+01    4.241288e+00
  2.323102e+01    4.442576e+00
  2.331116e+01    4.330419e+00
  2.339130e+01    4.401743e+00
  2.347144e+01    4.286517e+00
  2.355158e+01    4.251263e+00
  2.363171e+01    4.330047e+00
  2.371185e+01    4.434017e+00
  2.379199e+01    4.082139e+00
  2.387213e+01    4.225075e+00
  2.395227e+01    4.401200e+00
  2.403241e+01    4.346273e+00
  2.411254e+01    4.223126e+00
  2.419268e+01    4.194599e+00
  2.427282e+01    4.159707e+00
  2.435296e+01    4.202838e+00
  2.443310e+01    4.156513e+00
  2.451323e+01    4.142654e+00
  2.459337e+01    4.194759e+00
  2.467351e+01    4.260005e+00
  2.475365e+01    4.161268e+00
  2.483379e+01    4.186834e+00
  2.491393e+01    4.107641e+00
  2.499406e+01    4.108355e+00
  2.507420e+01    4.199251e+00
  2.515434e+01    4.102584e+00
  2.523448e+01    4.189956e+00
  2.531462e+01    4.131366e+00
  2.539475e+01    4.106747e+00
  2.547489e+01    4.275519e+00
  2.555503e+01    4.146061e+00
  2.563517e+01    4.044353e+00
  2.571531e+01    4.001655e+00
  2.579545e+01    4.106944e+00
  2.587558e+01    4.045629e+00
  2.595572e+01    3.967690e+00
  2.603586e+01    3.952269e+00
  2.611600e+01    4.073544e+00
  2.619614e+01    4.015640e+00
  2.627628e+01    3.884291e+00
  2.635641e+01    4.009946e+00
  2.643655e+01    3.931465e+00
  2.651669e+01    3.953352e+00
  2.659683e+01    3.991244e+00
  2.667697e+01    4.021745e+00
  2.675710e+01    3.868722e+00
  2.683724e+01    3.874735e+00
  2.691738e+01    3.847240e+00
  2.699752e+01    3.858500e+00
  2.707766e+01    4.062563e+00
  2.715780e+01    3.995626e+00
  2.723793e+01    3.935219e+00
  2.731807e+01    3.915636e+00
  2.739821e+01    3.967507e+00
  2.747835e+01    3.906969e+00
  2.755849e+01    7.541550e+01
  2.763863e+01    3.947762e+00
  2.771876e+01    3.930103e+00
  2.779890e+01    4.080355e+00
  2.787904e+01    3.889413e+00
  2.795918e+01    3.936999e+00
  2.803932e+01    3.867334e+00
  2.811945e+01    3.872009e+00
  2.819959e+01    4.120094e+00
  2.827973e+01    3.817173e+00
  2.835987e+01    3.924201e+00
  2.844001e+01    4.022526e+00
  2.852015e+01    3.925338e+00
  2.860028e+01    3.984722e+00
  2.868042e+01    4.428030e+00
  2.876056e+01    4.917904e+00
  2.884070e+01    5.547267e+00
  2.892084e+01    5.414433e+00
  2.900097e+01    5.443553e+00
  2.908111e+01    4.671950e+00
  2.916125e+01    4.463877e+00
  2.924139e+01    3.897827e+00
  2.932153e+01    3.760984e+00
  2.940167e+01    3.919362e+00
  2.948180e+01    3.604657e+00
  2.956194e+01    3.756942e+00
  2.964208e+01    3.860499e+00
  2.972222e+01    3.757868e+00
  2.980236e+01    3.717320e+00
  2.988250e+01    3.686867e+00
  2.996263e+01    3.818641e+00
  3.004277e+01    3.609271e+00
  3.012291e+01    3.573234e+00
  3.020305e+01    3.658937e+00
  3.028319e+01    3.602589e+00
  3.036332e+01    3.722176e+00
  3.044346e+01    3.654450e+00
  3.052360e+01    3.713396e+00
  3.060374e+01    3.554136e+00
  3.068388e+01    3.734887e+00
  3.076402e+01    3.646333e+00
  3.084415e+01    3.649604e+00
  3.092429e+01    3.480946e+00
  3.100443e+01    3.614954e+00
  3.108457e+01    3.657617e+00
  3.116471e+01    3.704154e+00
  3.124484e+01    3.541237e+00
  3.132498e+01    3.604782e+00
  3.140512e+01    3.481542e+00
  3.148526e+01    3.578367e+00
  3.156540e+01    3.466835e+00
  3.164554e+01    3.642784e+00
  3.172567e+01    3.567565e+00
  3.180581e+01    3.572790e+00
  3.188595e+01    3.393234e+00
  3.196609e+01    3.572741e+00
  3.204623e+01    3.394568e+00
  3.212637e+01    3.549521e+00
  3.220650e+01    3.491723e+00
  3.228664e+01    3.450774e+00
  3.236678e+01    3.656003e+00
  3.244692e+01    3.545518e+00
