Wave;Sample;Dark;Reference
349.200;9.154;-2.302;0.000
349.367;2.049;3.906;0.000
349.534;-3.740;1.592;0.000
349.700;-12.005;8.525;0.000
349.867;8.381;5.094;0.000
350.033;-1.005;2.650;0.000
350.200;-0.757;6.270;0.000
350.367;-6.356;-1.548;0.000
350.533;4.186;-3.099;0.000
350.700;0.081;3.485;0.000
350.866;18.449;0.037;0.000
351.033;-0.302;-4.555;0.000
351.200;-2.989;3.574;0.000
351.366;2.892;2.098;0.000
351.533;8.377;3.344;0.000
351.699;2.957;4.408;0.000
351.866;-0.233;4.379;0.000
352.032;-5.321;-7.318;0.000
352.199;-1.529;5.996;0.000
352.365;-2.108;-5.287;0.000
352.532;2.327;3.917;0.000
352.698;4.048;-5.154;0.000
352.865;-1.059;1.911;0.000
353.031;-1.287;-5.414;0.000
353.198;-2.480;4.765;0.000
353.364;-12.091;-2.947;0.000
353.531;8.520;13.346;0.000
353.697;-10.511;-4.472;0.000
353.864;5.221;8.703;0.000
354.030;-3.144;-9.185;0.000
354.197;5.907;3.412;0.000
354.363;1.345;-0.587;0.000
354.530;4.224;3.030;0.000
354.696;-6.897;2.530;0.000
354.863;-1.270;3.060;0.000
355.029;-1.512;-2.281;0.000
355.195;4.275;0.423;0.000
355.362;-3.691;-2.259;0.000
355.528;3.872;-5.414;0.000
355.695;3.366;5.105;0.000
355.861;1.836;6.370;0.000
356.027;3.715;-13.826;0.000
356.194;7.138;2.032;0.000
356.360;-2.476;-9.694;0.000
356.527;13.803;5.784;0.000
356.693;-7.250;-7.920;0.000
356.859;11.029;7.975;0.000
357.026;-0.879;-0.930;0.000
357.192;-3.373;-1.034;0.000
357.358;7.344;4.729;0.000
357.525;-0.952;12.034;0.000
357.691;-1.796;5.514;0.000
357.857;4.011;4.598;0.000
358.024;-7.827;8.928;0.000
358.190;5.413;-5.814;0.000
358.356;-6.058;3.162;0.000
358.523;-5.795;2.428;0.000
358.689;-9.410;1.270;0.000
358.855;2.308;-0.310;0.000
359.022;3.521;-5.526;0.000
359.188;4.663;2.185;0.000
359.354;-6.724;-3.975;0.000
359.520;4.522;-9.826;0.000
359.687;2.767;-7.998;0.000
359.853;-0.463;5.777;0.000
360.019;-2.094;-1.111;0.000
360.185;0.519;6.401;0.000
360.352;2.572;-2.852;0.000
360.518;1.699;4.808;0.000
360.684;-9.442;-6.879;0.000
360.850;2.873;3.415;0.000
361.016;-13.041;-2.319;0.000
361.183;5.802;2.692;0.000
361.349;2.679;0.456;0.000
361.515;10.256;8.463;0.000
361.681;15.558;-6.012;0.000
361.847;9.116;6.844;0.000
362.014;-2.197;-2.143;0.000
362.180;14.960;12.802;0.000
362.346;-7.935;2.244;0.000
362.512;9.149;6.021;0.000
362.678;-3.233;-4.224;0.000
362.844;7.345;-0.944;0.000
363.010;-5.795;0.203;0.000
363.177;1.818;9.318;0.000
363.343;-1.356;-0.848;0.000
363.509;-4.179;0.560;0.000
363.675;-3.269;-4.309;0.000
363.841;7.102;-9.613;0.000
364.007;-2.777;-7.503;0.000
364.173;-6.867;3.463;0.000
364.339;8.047;4.751;0.000
364.505;9.504;-1.052;0.000
364.671;-6.021;-17.083;0.000
364.838;8.556;4.140;0.000
365.004;1.784;3.333;0.000
365.170;11.382;16.053;0.000
365.336;-1.254;6.900;0.000
365.502;4.939;1.838;0.000
365.668;-10.688;-9.921;0.000
365.834;14.890;-0.981;0.000
366.000;5.381;-3.416;0.000
366.166;7.044;0.595;0.000
366.332;-2.989;-5.363;0.000
366.498;10.765;8.890;0.000
366.664;-8.023;-6.700;0.000
366.830;9.453;-3.410;0.000
366.996;-7.599;-2.004;0.000
367.162;2.538;4.379;0.000
367.328;-5.529;-5.662;0.000
367.494;3.696;4.509;0.000
367.660;-14.057;4.003;0.000
367.826;2.347;-4.429;0.000
367.992;-2.231;0.773;0.000
368.158;42.012;34.436;0.000
368.323;7.032;-3.187;0.000
368.489;2.590;1.209;0.000
368.655;-7.180;-0.848;0.000
368.821;-1.353;-5.334;0.000
368.987;-3.269;-9.945;0.000
369.153;1.028;4.193;0.000
369.319;5.905;-1.797;0.000
369.485;-6.267;-1.797;0.000
369.651;-3.551;-3.538;0.000
369.817;5.994;7.544;0.000
369.982;-4.183;-16.310;0.000
370.148;2.452;1.232;0.000
370.314;1.398;-7.738;0.000
370.480;1.783;9.433;0.000
370.646;0.101;-7.078;0.000
370.812;-1.321;5.239;0.000
370.978;5.033;2.034;0.000
371.143;4.466;7.935;0.000
371.309;2.783;2.795;0.000
371.475;6.241;3.170;0.000
371.641;-1.883;-3.184;0.000
371.807;10.082;2.532;0.000
371.972;-3.691;-2.641;0.000
372.138;6.487;5.510;0.000
372.304;4.398;2.379;0.000
372.470;4.399;5.159;0.000
372.636;3.941;-3.161;0.000
372.801;6.540;-4.923;0.000
372.967;-4.269;-12.943;0.000
373.133;8.520;-0.050;0.000
373.299;-8.742;-3.675;0.000
373.464;11.329;10.110;0.000
373.630;1.681;-2.035;0.000
373.796;-4.129;10.227;0.000
373.961;-7.461;2.980;0.000
374.127;-1.463;5.252;0.000
374.293;3.204;-1.663;0.000
374.459;2.521;-1.264;0.000
374.624;-4.039;-5.599;0.000
374.790;1.607;8.360;0.000
374.956;5.837;-0.657;0.000
375.121;-2.215;1.839;0.000
375.287;3.380;-8.805;0.000
375.453;3.343;10.520;0.000
375.618;-0.723;1.006;0.000
375.784;12.204;-4.397;0.000
375.950;-1.885;-4.290;0.000
376.115;9.295;7.142;0.000
376.281;-6.952;-9.419;0.000
376.447;13.100;5.526;0.000
376.612;-3.917;-0.876;0.000
376.778;6.417;9.732;0.000
376.943;-8.880;-3.503;0.000
377.109;5.575;0.699;0.000
377.275;-4.830;-6.425;0.000
377.440;3.506;3.683;0.000
377.606;-5.619;-0.545;0.000
377.771;13.224;0.494;0.000
377.937;-0.688;-2.246;0.000
378.102;10.276;6.097;0.000
378.268;-4.988;0.388;0.000
378.434;11.364;-0.501;0.000
378.599;8.909;1.270;0.000
378.765;11.870;-0.202;0.000
378.930;-2.671;11.003;0.000
379.096;6.888;11.931;0.000
379.261;3.012;-2.067;0.000
379.427;2.379;16.427;0.000
379.592;-0.761;2.223;0.000
379.758;1.643;7.957;0.000
379.923;7.836;-4.345;0.000
380.089;15.942;6.363;0.000
380.254;8.734;-0.674;0.000
380.420;-1.849;5.428;0.000
380.585;-3.514;-2.518;0.000
380.751;5.503;3.615;0.000
380.916;-5.585;-5.849;0.000
381.081;6.505;1.802;0.000
381.247;-2.970;1.557;0.000
381.412;1.116;3.905;0.000
381.578;-5.057;-7.668;0.000
381.743;-1.460;12.588;0.000
381.909;-5.428;-12.285;0.000
382.074;-6.497;4.148;0.000
382.239;1.660;-8.909;0.000
382.405;-2.742;9.180;0.000
382.570;-4.829;1.846;0.000
382.736;10.731;-3.202;0.000
382.901;-1.863;-3.106;0.000
383.066;-1.355;0.514;0.000
383.232;5.168;4.197;0.000
383.397;5.630;6.519;0.000
383.562;-5.128;-1.258;0.000
383.728;8.608;11.594;0.000
383.893;-0.410;6.338;0.000
384.058;-0.058;5.940;0.000
384.224;-4.530;-2.757;0.000
384.389;-3.356;5.243;0.000
384.554;-1.970;-0.492;0.000
384.720;-7.935;-2.249;0.000
384.885;-9.407;-2.992;0.000
385.050;-0.724;-1.844;0.000
385.216;-8.987;-9.026;0.000
385.381;0.470;5.452;0.000
385.546;8.134;-8.838;0.000
385.711;-4.339;8.997;0.000
385.877;-3.249;-4.317;0.000
386.042;4.733;-2.035;0.000
386.207;5.051;-2.755;0.000
386.372;3.956;-0.433;0.000
386.538;-2.162;-5.309;0.000
386.703;0.364;1.371;0.000
386.868;-7.831;-5.840;0.000
387.033;7.678;-5.943;0.000
387.199;1.292;1.858;0.000
387.364;-0.690;-4.055;0.000
387.529;-2.338;3.767;0.000
387.694;6.384;5.352;0.000
387.859;-16.744;-11.706;0.000
388.024;3.697;0.692;0.000
388.190;-2.951;6.471;0.000
388.355;0.503;8.240;0.000
388.520;-10.288;2.937;0.000
388.685;-3.408;12.718;0.000
388.850;15.064;14.232;0.000
389.015;27.888;29.957;0.000
389.181;-1.264;14.812;0.000
389.346;-2.497;-3.830;0.000
389.511;-10.022;-1.542;0.000
389.676;9.837;4.703;0.000
389.841;0.802;-4.786;0.000
390.006;3.258;-0.703;0.000
390.171;-2.145;2.694;0.000
390.336;3.434;3.197;0.000
390.501;0.714;2.283;0.000
390.666;3.187;7.202;0.000
390.832;-5.128;-4.265;0.000
390.997;-2.284;4.524;0.000
391.162;1.889;-7.592;0.000
391.327;-4.548;10.568;0.000
391.492;-9.374;-5.511;0.000
391.657;14.434;0.234;0.000
391.822;1.767;-13.020;0.000
391.987;-3.620;0.116;0.000
392.152;-10.320;2.269;0.000
392.317;12.645;8.787;0.000
392.482;-3.882;2.965;0.000
392.647;-1.952;6.459;0.000
392.812;-0.445;-6.582;0.000
392.977;6.625;8.080;0.000
393.142;-8.529;-3.837;0.000
393.307;2.311;5.443;0.000
393.472;-3.949;0.716;0.000
393.637;-1.757;3.475;0.000
393.802;-17.656;-7.668;0.000
393.967;0.892;-5.856;0.000
394.132;0.662;0.556;0.000
394.296;8.681;8.300;0.000
394.461;-5.004;-9.371;0.000
394.626;0.064;5.593;0.000
394.791;-5.638;0.699;0.000
394.956;2.523;8.959;0.000
395.121;1.873;-7.189;0.000
395.286;0.694;-6.181;0.000
395.451;1.699;2.512;0.000
395.616;8.189;4.388;0.000
395.781;1.470;1.392;0.000
395.945;9.450;-2.433;0.000
396.110;6.207;8.485;0.000
396.275;12.278;-2.523;0.000
396.440;0.822;3.113;0.000
396.605;14.311;1.460;0.000
396.770;5.222;26.187;0.000
396.935;56.872;53.296;0.000
397.099;68.487;74.906;0.000
397.264;31.489;26.373;0.000
397.429;1.032;2.920;0.000
397.594;-2.231;3.569;0.000
397.759;-1.598;5.371;0.000
397.923;-3.795;-7.191;0.000
398.088;-1.219;-11.070;0.000
398.253;4.681;2.206;0.000
398.418;-2.198;-10.667;0.000
398.582;13.014;5.047;0.000
398.747;-7.934;-2.708;0.000
398.912;0.206;14.964;0.000
399.077;2.838;10.084;0.000
399.241;6.187;3.417;0.000
399.406;-1.532;-8.070;0.000
399.571;12.679;2.288;0.000
399.736;-4.037;0.504;0.000
399.900;8.366;2.403;0.000
400.065;1.381;-4.679;0.000
400.230;3.836;0.255;0.000
400.394;-0.094;1.825;0.000
400.559;14.663;0.625;0.000
400.724;-4.549;-15.017;0.000
400.888;2.942;3.454;0.000
401.053;-9.865;-0.257;0.000
401.218;5.434;-3.339;0.000
401.382;-1.532;-7.804;0.000
401.547;4.237;-5.092;0.000
401.712;0.645;-5.106;0.000
401.876;11.030;12.553;0.000
402.041;8.204;-8.056;0.000
402.206;8.521;4.899;0.000
402.370;-0.001;-0.438;0.000
402.535;-1.197;6.852;0.000
402.699;-3.776;4.816;0.000
402.864;-1.796;0.596;0.000
403.029;-6.703;-7.162;0.000
403.193;-0.954;-9.150;0.000
403.358;-3.410;-8.302;0.000
403.522;9.872;-0.424;0.000
403.687;-4.653;2.966;0.000
403.851;2.908;1.732;0.000
404.016;-7.669;-0.907;0.000
404.181;-5.583;3.564;0.000
404.345;2.191;7.923;0.000
404.510;-2.985;3.171;0.000
404.674;-2.969;-14.342;0.000
404.839;4.696;11.233;0.000
405.003;-4.984;2.493;0.000
405.168;2.399;1.588;0.000
405.332;-3.725;-3.468;0.000
405.497;11.031;2.289;0.000
405.661;-5.494;-7.845;0.000
405.826;4.836;10.072;0.000
405.990;-2.531;-7.991;0.000
406.155;11.136;4.679;0.000
406.319;-5.090;1.659;0.000
406.483;-0.304;-3.829;0.000
406.648;-6.231;7.037;0.000
406.812;1.121;8.331;0.000
406.977;-9.985;-12.982;0.000
407.141;11.611;-2.352;0.000
407.306;-5.022;-0.337;0.000
407.470;3.698;11.123;0.000
407.634;-4.021;-0.784;0.000
407.799;7.573;-0.510;0.000
407.963;-14.497;6.173;0.000
408.128;0.734;3.063;0.000
408.292;-5.303;-3.641;0.000
408.456;8.835;-1.423;0.000
408.621;1.522;0.173;0.000
408.785;0.997;8.633;0.000
408.949;-0.723;1.166;0.000
409.114;6.030;0.490;0.000
409.278;-6.968;-9.184;0.000
409.442;-2.440;3.504;0.000
409.607;-0.424;4.329;0.000
409.771;15.663;17.879;0.000
409.935;49.417;48.079;0.000
410.100;191.995;202.897;0.000
410.264;297.803;284.535;0.000
410.428;105.837;111.162;0.000
410.593;22.258;19.649;0.000
410.757;14.169;0.610;0.000
410.921;3.485;0.938;0.000
411.085;-8.898;0.200;0.000
411.250;-13.897;-6.580;0.000
411.414;0.258;0.973;0.000
411.578;6.734;-1.189;0.000
411.742;1.820;-5.050;0.000
411.907;-3.251;-3.380;0.000
412.071;12.607;-0.943;0.000
412.235;-3.759;-7.519;0.000
412.399;0.731;13.132;0.000
412.564;-4.672;4.279;0.000
412.728;12.520;2.234;0.000
412.892;-3.111;4.812;0.000
413.056;-1.988;6.066;0.000
413.220;-2.585;-0.414;0.000
413.384;2.116;3.664;0.000
413.549;-1.707;-17.673;0.000
413.713;2.432;-1.649;0.000
413.877;-10.830;-3.201;0.000
414.041;3.626;6.718;0.000
