Wavelength (nm);Intensity Source
620.053;4.883
620.398;4.785
620.744;4.932
621.089;4.883
621.434;5.029
621.780;4.980
622.125;4.883
622.470;4.956
622.815;4.883
623.160;4.761
623.505;4.907
623.850;4.932
624.195;4.834
624.540;4.858
624.884;5.005
625.229;4.858
625.574;4.956
625.919;5.005
626.263;4.980
626.608;5.005
626.952;4.932
627.297;4.932
627.641;5.054
627.986;4.980
628.330;5.054
628.675;5.078
629.019;5.103
629.363;5.176
629.707;5.176
630.052;5.444
630.396;5.786
630.740;6.226
631.084;6.958
631.428;8.203
631.772;9.253
632.116;10.889
632.460;12.671
632.803;14.380
633.147;15.967
633.491;17.236
633.835;18.262
634.178;18.433
634.522;17.749
634.865;17.090
635.209;16.162
635.552;15.527
635.896;13.550
636.239;12.793
636.583;11.670
636.926;10.547
637.269;9.595
637.612;8.911
637.956;8.301
638.299;8.057
638.642;7.568
638.985;7.495
639.328;6.982
639.671;6.860
640.014;6.665
640.357;6.665
640.699;6.299
641.042;6.152
641.385;5.981
641.728;6.104
642.070;5.933
642.413;5.884
642.755;5.566
643.098;5.566
643.440;5.347
643.783;5.469
644.125;5.396
644.468;5.396
644.810;5.371
645.152;5.200
645.494;5.200
645.837;5.176
646.179;5.151
646.521;5.249
646.863;5.029
647.205;5.078
647.547;5.078
647.889;5.225
648.230;5.249
648.572;5.200
648.914;5.273
649.256;5.200
649.597;5.176
649.939;5.396
650.281;5.444
650.622;5.396
650.964;5.518
651.305;5.615
651.647;5.713
651.988;6.128
652.329;6.152
652.671;6.421
653.012;6.665
653.353;6.738
653.694;6.860
654.035;7.471
654.376;7.568
654.717;7.910
655.058;8.447
655.399;8.789
655.740;9.180
656.081;9.668
656.422;9.814
656.763;10.156
657.103;10.376
657.444;11.133
657.785;11.133
658.125;11.475
658.466;11.646
658.806;12.183
659.147;12.231
659.487;12.109
659.827;12.378
660.168;12.354
660.508;12.500
660.848;12.109
661.188;12.329
661.528;12.305
661.869;12.085
662.209;11.768
662.549;11.548
662.889;11.353
663.228;11.157
663.568;11.279
663.908;10.718
664.248;10.522
664.588;10.449
664.927;10.010
665.267;9.961
665.607;9.570
665.946;9.375
666.286;9.277
666.625;8.838
666.965;8.569
667.304;8.667
667.643;8.423
667.982;8.130
668.322;8.154
668.661;8.008
669.000;7.788
669.339;7.324
669.678;7.397
670.017;7.153
670.356;6.885
670.695;7.031
671.034;6.665
671.373;6.787
671.712;6.543
672.050;6.567
672.389;6.152
672.728;6.348
673.066;6.177
673.405;6.030
673.743;5.957
674.082;5.933
674.420;5.908
674.759;5.859
675.097;5.859
675.435;5.981
675.773;5.859
676.112;5.908
676.450;5.615
676.788;5.713
677.126;5.981
677.464;5.884
677.802;5.981
678.140;5.908
678.478;5.957
678.816;6.006
679.153;6.006
679.491;6.201
679.829;6.274
680.167;6.323
680.504;6.543
680.842;6.982
681.179;7.373
681.517;7.471
681.854;7.544
682.191;8.203
682.529;8.398
682.866;8.911
683.203;9.009
683.541;9.570
683.878;10.229
684.215;10.425
684.552;10.815
684.889;11.157
685.226;11.865
685.563;12.207
685.900;12.695
686.237;13.232
686.573;13.232
686.910;13.623
687.247;14.233
687.583;14.380
687.920;14.722
688.257;14.990
688.593;15.308
688.930;15.576
689.266;15.308
689.602;15.918
689.939;15.527
690.275;16.064
690.611;15.991
690.947;15.625
691.284;15.674
691.620;15.430
691.956;15.479
692.292;15.649
692.628;14.966
692.964;15.039
693.299;14.673
693.635;14.380
693.971;14.087
694.307;14.038
694.642;13.770
694.978;13.135
695.314;13.062
695.649;12.427
695.985;12.402
696.320;11.841
696.656;11.328
696.991;11.035
697.326;10.840
697.662;10.620
697.997;10.181
698.332;9.985
698.667;9.521
699.002;9.253
699.337;8.789
699.672;8.789
700.007;8.228
700.342;7.935
700.677;8.032
701.012;7.788
701.347;7.788
701.681;7.275
702.016;7.104
702.351;6.958
702.685;6.860
703.020;6.885
703.354;6.567
703.689;6.543
704.023;6.201
704.357;6.250
704.692;6.006
705.026;6.055
705.360;5.908
705.694;5.859
706.028;5.835
706.362;5.835
706.696;5.737
707.030;5.591
707.364;5.786
707.698;5.566
708.032;5.664
708.366;5.347
708.700;5.273
709.033;5.493
709.367;5.322
709.700;5.322
710.034;5.322
710.368;5.298
710.701;5.371
711.034;5.127
711.368;5.151
711.701;5.029
712.034;5.078
712.368;5.298
712.701;5.005
713.034;5.127
713.367;5.273
713.700;5.127
714.033;5.176
714.366;5.103
714.699;5.322
715.032;5.273
715.364;5.225
715.697;5.469
716.030;5.786
716.363;5.762
716.695;5.981
717.028;6.177
717.360;6.860
717.693;7.227
718.025;7.715
718.358;8.130
718.690;8.691
719.022;9.790
719.354;10.498
719.687;11.450
720.019;12.207
720.351;12.891
720.683;14.014
721.015;14.771
721.347;15.723
721.679;16.309
722.011;17.480
722.342;17.969
722.674;18.604
723.006;18.872
723.338;19.141
723.669;19.458
724.001;19.238
724.332;19.092
724.664;18.848
724.995;18.384
725.327;17.603
725.658;16.846
725.989;16.260
726.320;15.649
726.652;14.990
726.983;14.575
727.314;13.916
727.645;12.988
727.976;12.500
728.307;11.694
728.638;11.108
728.969;10.449
729.300;10.059
729.630;9.155
729.961;8.447
730.292;8.496
730.622;7.935
730.953;7.251
731.283;7.178
731.614;6.787
731.944;6.519
732.275;6.201
732.605;6.055
732.935;5.957
733.266;5.713
733.596;5.566
733.926;5.615
734.256;5.371
734.586;5.151
734.916;5.396
735.246;5.225
735.576;5.249
735.906;4.980
736.236;5.103
736.565;5.176
736.895;5.273
737.225;5.200
737.554;5.469
737.884;5.737
738.214;5.762
738.543;6.226
738.872;6.616
739.202;7.080
739.531;7.593
739.860;8.203
740.190;9.204
740.519;10.205
740.848;11.401
741.177;12.354
741.506;13.550
741.835;14.502
742.164;15.405
742.493;16.602
742.822;17.334
743.151;18.115
743.479;18.555
743.808;18.555
744.137;18.555
744.465;18.311
744.794;17.432
745.122;16.895
745.451;15.942
745.779;14.844
746.108;13.623
746.436;12.695
746.764;11.768
747.093;10.864
747.421;9.814
747.749;9.106
748.077;8.130
748.405;7.715
748.733;7.056
749.061;6.592
749.389;6.299
749.717;5.835
750.044;5.542
750.372;5.542
750.700;5.298
751.027;5.127
751.355;5.127
751.683;5.005
752.010;4.956
752.338;4.834
752.665;4.785
752.992;4.810
753.320;4.712
753.647;4.834
753.974;4.736
754.301;4.687
754.628;4.712
754.955;4.663
755.282;4.834
755.609;4.663
755.936;4.639
756.263;4.614
756.590;4.590
756.917;4.736
757.243;4.687
757.570;4.663
757.897;4.712
758.223;4.810
758.550;4.614
758.876;4.736
759.203;4.663
759.529;4.492
759.855;4.712
760.182;4.614
