Frequency Magnitude
1838147208.12183 -15.650333404541
1838984771.5736 -15.4765901565552
1839822335.02538 -15.3101749420166
1840659898.47716 -15.1437606811523
1841497461.92893 -14.9773454666138
1842335025.38071 -14.8109312057495
1843172588.83249 -14.6445159912109
1844010152.28426 -14.4883279800415
1844847715.73604 -14.3456964492798
1845685279.18782 -14.2030639648438
1846522842.63959 -14.060432434082
1847360406.09137 -13.917799949646
1848197969.54315 -13.7751684188843
1849035532.99492 -13.6427812576294
1849873096.4467 -13.5198497772217
1850710659.89848 -13.3969192504883
1851548223.35025 -13.2739877700806
1852385786.80203 -13.1510562896729
1853223350.25381 -13.0281257629395
1854060913.70558 -12.9180488586426
1854898477.15736 -12.8161897659302
1855736040.60914 -12.7143306732178
1856573604.06091 -12.6124725341797
1857411167.51269 -12.5106134414673
1858248730.96447 -12.4087543487549
1859086294.41624 -12.3237152099609
1859923857.86802 -12.2458839416504
1860761421.3198 -12.1680526733398
1861598984.77157 -12.0902214050293
1862436548.22335 -12.0123901367188
1863274111.67513 -11.9345588684082
1864111675.1269 -11.8706874847412
1864949238.57868 -11.8105268478394
1865786802.03046 -11.7503662109375
1866624365.48223 -11.6902046203613
1867461928.93401 -11.6300439834595
1868299492.38579 -11.5698833465576
1869137055.83756 -11.5186548233032
1869974619.28934 -11.4686450958252
1870812182.74112 -11.4186353683472
1871649746.19289 -11.3686256408691
1872487309.64467 -11.3186149597168
1873324873.09645 -11.2686052322388
1874162436.54822 -11.2212553024292
1875000000 -11.1739873886108
1875837563.45178 -11.1267204284668
1876675126.90355 -11.0794525146484
1877512690.35533 -11.0321846008301
1878350253.80711 -10.9856433868408
1879187817.25888 -10.9504880905151
1880025380.71066 -10.9153318405151
1880862944.16244 -10.8801755905151
1881700507.61421 -10.8450202941895
1882538071.06599 -10.8098640441895
1883375634.51777 -10.7732305526733
1884213197.96954 -10.7282218933105
1885050761.42132 -10.6832132339478
1885888324.8731 -10.638204574585
1886725888.32487 -10.5931959152222
1887563451.77665 -10.5481872558594
1888401015.22843 -10.5021495819092
1889238578.6802 -10.4528512954712
1890076142.13198 -10.4035530090332
1890913705.58376 -10.3542556762695
1891751269.03553 -10.3049573898315
1892588832.48731 -10.2556591033936
1893426395.93909 -10.2058095932007
1894263959.39086 -10.1548414230347
1895101522.84264 -10.1038722991943
1895939086.29442 -10.052903175354
1896776649.74619 -10.001935005188
1897614213.19797 -9.95096588134766
1898451776.64975 -9.89849472045898
1899289340.10152 -9.84395027160645
1900126903.5533 -9.78940486907959
1900964467.00508 -9.73486042022705
1901802030.45685 -9.6803150177002
1902639593.90863 -9.62576961517334
1903477157.36041 -9.56610107421875
1904314720.81218 -9.50150871276855
1905152284.26396 -9.43691635131836
1905989847.71574 -9.37232398986816
1906827411.16751 -9.30773162841797
1907664974.61929 -9.24313926696777
1908502538.07107 -9.18335628509521
1909340101.52284 -9.1267786026001
1910177664.97462 -9.0702018737793
1911015228.4264 -9.01362419128418
1911852791.87817 -8.95704650878906
1912690355.32995 -8.90046977996826
1913527918.78173 -8.84615898132324
1914365482.2335 -8.79286670684814
1915203045.68528 -8.73957443237305
1916040609.13706 -8.68628311157227
1916878172.58883 -8.63299083709717
1917715736.04061 -8.57969856262207
1918553299.49239 -8.53096485137939
1919390862.94416 -8.48351669311523
1920228426.39594 -8.43606853485107
1921065989.84772 -8.38862037658691
1921903553.29949 -8.34117221832275
1922741116.75127 -8.29372406005859
1923578680.20305 -8.24685287475586
1924416243.65482 -8.2000675201416
1925253807.1066 -8.15328311920166
1926091370.55838 -8.1064977645874
1926928934.01015 -8.05971336364746
1927766497.46193 -8.0129280090332
1928604060.91371 -7.9714994430542
1929441624.36548 -7.93029356002808
1930279187.81726 -7.88908767700195
1931116751.26904 -7.84788179397583
1931954314.72081 -7.80667591094971
1932791878.17259 -7.76533555984497
1933629441.62437 -7.72144174575806
1934467005.07614 -7.67754745483398
1935304568.52792 -7.63365316390991
1936142131.9797 -7.58975887298584
1936979695.43147 -7.54586458206177
1937817258.88325 -7.50288438796997
1938654822.33503 -7.4655179977417
1939492385.7868 -7.42815208435059
1940329949.23858 -7.39078569412231
1941167512.69036 -7.35341930389404
1942005076.14213 -7.31605291366577
1942842639.59391 -7.2689995765686
1943680203.04569 -7.18951606750488
1944517766.49746 -7.110032081604
1945355329.94924 -7.03054809570313
1946192893.40102 -6.9510645866394
1947030456.85279 -6.87158060073853
1947868020.30457 -6.80386686325073
1948705583.75635 -6.76116371154785
1949543147.20812 -6.71846055984497
1950380710.6599 -6.67575788497925
1951218274.11168 -6.63305473327637
1952055837.56345 -6.59035158157349
1952893401.01523 -6.54865694046021
1953730964.46701 -6.50841236114502
1954568527.91878 -6.46816778182983
1955406091.37056 -6.42792367935181
1956243654.82234 -6.38767910003662
1957081218.27411 -6.34743452072144
1957918781.72589 -6.30992937088013
1958756345.17767 -6.2751636505127
1959593908.62944 -6.24039745330811
1960431472.08122 -6.20563125610352
1961269035.53299 -6.17086553573608
1962106598.98477 -6.13609933853149
1962944162.43655 -6.10595512390137
1963781725.88832 -6.07902240753174
1964619289.3401 -6.05208969116211
1965456852.79188 -6.02515697479248
1966294416.24365 -5.99822425842285
1967131979.69543 -5.97129154205322
1967969543.14721 -5.95325660705566
1968807106.59898 -5.93940877914429
1969644670.05076 -5.92556095123291
1970482233.50254 -5.91171312332153
1971319796.95431 -5.89786529541016
1972157360.40609 -5.88401746749878
1972994923.85787 -5.87138557434082
1973832487.30964 -5.85911703109741
1974670050.76142 -5.846848487854
1975507614.2132 -5.8345799446106
1976345177.66497 -5.82231092453003
1977182741.11675 -5.81004238128662
1978020304.56853 -5.82008028030396
1978857868.0203 -5.83374977111816
1979695431.47208 -5.84741926193237
1980532994.92386 -5.86108827590942
1981370558.37563 -5.87475776672363
1982208121.82741 -5.88842725753784
1983045685.27919 -5.91423225402832
1983883248.73096 -5.94067573547363
1984720812.18274 -5.9671196937561
1985558375.63452 -5.99356317520142
1986395939.08629 -6.02000713348389
1987233502.53807 -6.04672574996948
1988071065.98985 -6.08004665374756
1988908629.44162 -6.11336755752563
1989746192.8934 -6.14668846130371
1990583756.34518 -6.18000936508179
1991421319.79695 -6.21332979202271
1992258883.24873 -6.24744272232056
1993096446.70051 -6.28685712814331
1993934010.15228 -6.32627105712891
1994771573.60406 -6.3656849861145
1995609137.05584 -6.4050989151001
1996446700.50761 -6.44451284408569
1997284263.95939 -6.4844913482666
1998121827.41117 -6.52647113800049
1998959390.86294 -6.56845092773438
1999796954.31472 -6.61043071746826
2000634517.7665 -6.65241050720215
2001472081.21827 -6.69439029693604
2002309644.67005 -6.74547672271729
2003147208.12183 -6.81683301925659
2003984771.5736 -6.88818979263306
2004822335.02538 -6.95954608917236
2005659898.47716 -7.03090238571167
2006497461.92893 -7.10225915908813
2007335025.38071 -7.1549220085144
2008172588.83249 -7.17954540252686
2009010152.28426 -7.20416879653931
2009847715.73604 -7.2287917137146
2010685279.18782 -7.25341510772705
2011522842.63959 -7.27803802490234
2012360406.09137 -7.29790735244751
2013197969.54315 -7.31282806396484
2014035532.99492 -7.32774925231934
2014873096.4467 -7.34266996383667
2015710659.89848 -7.357590675354
2016548223.35025 -7.3725118637085
2017385786.80203 -7.37923145294189
2018223350.25381 -7.38001251220703
2019060913.70558 -7.38079357147217
2019898477.15736 -7.3815746307373
2020736040.60914 -7.38235569000244
2021573604.06091 -7.38313627243042
2022411167.51269 -7.40416955947876
2023248730.96447 -7.43517732620239
2024086294.41624 -7.46618509292603
2024923857.86802 -7.49719285964966
2025761421.3198 -7.52820062637329
2026598984.77157 -7.55920839309692
2027436548.22335 -7.54856777191162
2028274111.67513 -7.52477502822876
2029111675.1269 -7.5009822845459
2029949238.57868 -7.47718954086304
2030786802.03046 -7.45339679718018
2031624365.48223 -7.42960405349731
2032461928.93401 -7.39875745773315
2033299492.38579 -7.36666679382324
2034137055.83756 -7.33457565307617
2034974619.28934 -7.30248498916626
2035812182.74112 -7.27039384841919
2036649746.19289 -7.23830318450928
2037487309.64467 -7.19690227508545
2038324873.09645 -7.15490770339966
2039162436.54822 -7.11291265487671
2040000000 -7.07091760635376
2040837563.45178 -7.02892303466797
2041675126.90355 -6.98784446716309
2042512690.35533 -6.97640800476074
2043350253.80711 -6.9649715423584
2044187817.25888 -6.9535346031189
2045025380.71066 -6.94209814071655
2045862944.16244 -6.93066120147705
2046700507.61421 -6.8895845413208
2047538071.06599 -6.63114881515503
2048375634.51777 -6.3727126121521
2049213197.96954 -6.11427640914917
2050050761.42132 -5.8558406829834
2050888324.8731 -5.59740447998047
2051725888.32487 -5.38377618789673
2052563451.77665 -5.33870983123779
2053401015.22843 -5.29364347457886
2054238578.6802 -5.24857711791992
2055076142.13198 -5.20351076126099
2055913705.58376 -5.15844440460205
2056751269.03553 -5.11230516433716
2057588832.48731 -5.06366300582886
2058426395.93909 -5.01502084732056
2059263959.39086 -4.9663782119751
2060101522.84264 -4.9177360534668
2060939086.29442 -4.8690938949585
2061776649.74619 -4.83298206329346
2062614213.19797 -4.81646919250488
2063451776.64975 -4.79995632171631
2064289340.10152 -4.78344345092773
2065126903.5533 -4.76693058013916
2065964467.00508 -4.75041770935059
2066802030.45685 -4.72309732437134
2067639593.90863 -4.68406963348389
2068477157.36041 -4.64504194259644
2069314720.81218 -4.60601425170898
2070152284.26396 -4.56698656082153
2070989847.71574 -4.52795886993408
2071827411.16751 -4.49045467376709
2072664974.61929 -4.45409965515137
2073502538.07107 -4.41774415969849
2074340101.52284 -4.38138914108276
2075177664.97462 -4.34503412246704
2076015228.4264 -4.30867862701416
2076852791.87817 -4.27516508102417
2077690355.32995 -4.24311447143555
2078527918.78173 -4.21106433868408
2079365482.2335 -4.17901420593262
2080203045.68528 -4.14696407318115
2081040609.13706 -4.11491394042969
2081878172.58883 -4.08917379379272
2082715736.04061 -4.0655369758606
2083553299.49239 -4.04190063476563
2084390862.94416 -4.0182638168335
2085228426.39594 -3.99462723731995
2086065989.84772 -3.9709906578064
2086903553.29949 -3.9778003692627
2087741116.75127 -3.99040913581848
2088578680.20305 -4.00301790237427
2089416243.65482 -4.01562690734863
2090253807.1066 -4.02823543548584
2091091370.55838 -4.04084444046021
2091928934.01015 -4.02821969985962
2092766497.46193 -4.01369524002075
2093604060.91371 -3.99917101860046
2094441624.36548 -3.98464679718018
2095279187.81726 -3.97012257575989
2096116751.26904 -3.95567226409912
2096954314.72081 -3.94484543800354
2097791878.17259 -3.93401885032654
2098629441.62437 -3.92319202423096
2099467005.07614 -3.91236543655396
2100304568.52792 -3.90153861045837
2101142131.9797 -3.89105319976807
2101979695.43147 -3.88332748413086
2102817258.88325 -3.87560200691223
2103654822.33503 -3.86787629127502
2104492385.7868 -3.8601508140564
2105329949.23858 -3.85242533683777
2106167512.69036 -3.84518074989319
2107005076.14213 -3.83986043930054
2107842639.59391 -3.83454036712646
2108680203.04569 -3.82922005653381
2109517766.49746 -3.82389974594116
2110355329.94924 -3.81857943534851
2111192893.40102 -3.81211972236633
2112030456.85279 -3.80287027359009
2112868020.30457 -3.79362082481384
2113705583.75635 -3.7843713760376
2114543147.20812 -3.77512168884277
2115380710.6599 -3.76587224006653
2116218274.11168 -3.76094675064087
2117055837.56345 -3.76307654380798
2117893401.01523 -3.7652063369751
2118730964.46701 -3.76733589172363
2119568527.91878 -3.76946568489075
2120406091.37056 -3.77159547805786
2121243654.82234 -3.77593207359314
2122081218.27411 -3.7827570438385
2122918781.72589 -3.78958225250244
2123756345.17767 -3.79640746116638
2124593908.62944 -3.80323266983032
2125431472.08122 -3.81005764007568
2126269035.53299 -3.82120060920715
2127106598.98477 -3.83573627471924
2127944162.43655 -3.85027170181274
2128781725.88832 -3.86480736732483
2129619289.3401 -3.87934279441834
2130456852.79188 -3.89387845993042
2131294416.24365 -3.90808486938477
2132131979.69543 -3.92211389541626
2132969543.14721 -3.93614315986633
2133807106.59898 -3.95017242431641
2134644670.05076 -3.9642014503479
2135482233.50254 -3.97823071479797
2136319796.95431 -3.99918293952942
2137157360.40609 -4.02256727218628
2137994923.85787 -4.04595184326172
2138832487.30964 -4.06933641433716
2139670050.76142 -4.0927209854126
2140507614.2132 -4.11610555648804
2141345177.66497 -4.13961029052734
2142182741.11675 -4.16313982009888
2143020304.56853 -4.18666934967041
2143857868.0203 -4.21019887924194
2144695431.47208 -4.23372840881348
2145532994.92386 -4.25725746154785
2146370558.37563 -4.28413486480713
2147208121.82741 -4.31130313873291
2148045685.27919 -4.33847141265869
2148883248.73096 -4.36563968658447
2149720812.18274 -4.39280796051025
2150558375.63452 -4.41994762420654
2151395939.08629 -4.44428491592407
2152233502.53807 -4.4686222076416
2153071065.98985 -4.49295949935913
2153908629.44162 -4.51729679107666
2154746192.8934 -4.54163408279419
2155583756.34518 -4.56532573699951
2156421319.79695 -4.58320760726929
2157258883.24873 -4.60108947753906
2158096446.70051 -4.618971824646
2158934010.15228 -4.63685369491577
2159771573.60406 -4.65473556518555
2160609137.05584 -4.67206192016602
2161446700.50761 -4.68701791763306
2162284263.95939 -4.70197439193726
2163121827.41117 -4.71693086624146
2163959390.86294 -4.73188734054565
2164796954.31472 -4.74684381484985
2165634517.7665 -4.7617392539978
2166472081.21827 -4.77647733688354
2167309644.67005 -4.79121589660645
2168147208.12183 -4.80595445632935
2168984771.5736 -4.82069301605225
2169822335.02538 -4.83543157577515
2170659898.47716 -4.85052633285522
2171497461.92893 -4.86622619628906
2172335025.38071 -4.88192653656006
2173172588.83249 -4.89762687683105
2174010152.28426 -4.91332721710205
2174847715.73604 -4.92902755737305
2175685279.18782 -4.93314933776855
2176522842.63959 -4.9236798286438
2177360406.09137 -4.91420984268188
2178197969.54315 -4.90473985671997
2179035532.99492 -4.89526987075806
2179873096.4467 -4.88579988479614
2180710659.89848 -4.89445066452026
2181548223.35025 -4.91792821884155
2182385786.80203 -4.94140529632568
2183223350.25381 -4.96488237380981
2184060913.70558 -4.98835945129395
2184898477.15736 -5.01183652877808
2185736040.60914 -5.00853538513184
2186573604.06091 -4.99017095565796
2187411167.51269 -4.97180652618408
2188248730.96447 -4.95344209671021
2189086294.41624 -4.93507766723633
2189923857.86802 -4.91671323776245
2190761421.3198 -4.8958306312561
2191598984.77157 -4.87401723861694
2192436548.22335 -4.85220384597778
2193274111.67513 -4.83039045333862
2194111675.1269 -4.8085765838623
2194949238.57868 -4.78676319122314
2195786802.03046 -4.76607894897461
2196624365.48223 -4.74564218521118
2197461928.93401 -4.72520542144775
2198299492.38579 -4.70476865768433
2199137055.83756 -4.6843318939209
2199974619.28934 -4.66389513015747
2200812182.74112 -4.63586950302124
2201649746.19289 -4.60709381103516
2202487309.64467 -4.57831764221191
2203324873.09645 -4.54954147338867
2204162436.54822 -4.52076530456543
2205000000 -4.49198913574219
2205837563.45178 -4.45843839645386
2206675126.90355 -4.42488718032837
2207512690.35533 -4.39133644104004
2208350253.80711 -4.35778522491455
2209187817.25888 -4.32423448562622
2210025380.71066 -4.29107236862183
2210862944.16244 -4.26184272766113
2211700507.61421 -4.23261260986328
2212538071.06599 -4.20338296890259
2213375634.51777 -4.17415285110474
2214213197.96954 -4.14492321014404
2215050761.42132 -4.11556720733643
2215888324.8731 -4.08563899993896
2216725888.32487 -4.05571031570435
2217563451.77665 -4.02578163146973
2218401015.22843 -3.99585294723511
2219238578.6802 -3.96592450141907
2220076142.13198 -3.93458652496338
2220913705.58376 -3.89943790435791
2221751269.03553 -3.86428952217102
2222588832.48731 -3.82914113998413
2223426395.93909 -3.79399251937866
2224263959.39086 -3.75884413719177
2225101522.84264 -3.72742366790771
2225939086.29442 -3.70263075828552
2226776649.74619 -3.67783784866333
2227614213.19797 -3.65304470062256
2228451776.64975 -3.62825179100037
2229289340.10152 -3.60345888137817
2230126903.5533 -3.57969784736633
2230964467.00508 -3.55719780921936
2231802030.45685 -3.53469800949097
2232639593.90863 -3.51219797134399
2233477157.36041 -3.48969793319702
2234314720.81218 -3.46719813346863
2235152284.26396 -3.44701504707336
2235989847.71574 -3.42880535125732
2236827411.16751 -3.41059589385986
2237664974.61929 -3.3923864364624
2238502538.07107 -3.37417697906494
2239340101.52284 -3.3559672832489
2240177664.97462 -3.33723950386047
2241015228.4264 -3.31820726394653
2241852791.87817 -3.29917526245117
2242690355.32995 -3.28014302253723
2243527918.78173 -3.26111078262329
2244365482.2335 -3.24207878112793
2245203045.68528 -3.22613644599915
2246040609.13706 -3.21139597892761
2246878172.58883 -3.19665551185608
2247715736.04061 -3.18191504478455
2248553299.49239 -3.16717457771301
2249390862.94416 -3.15243411064148
2250228426.39594 -3.13772678375244
2251065989.84772 -3.12302732467651
2251903553.29949 -3.10832786560059
2252741116.75127 -3.09362840652466
2253578680.20305 -3.07892894744873
2254416243.65482 -3.06422924995422
2255253807.1066 -3.05153512954712
2256091370.55838 -3.03906393051147
2256928934.01015 -3.02659249305725
2257766497.46193 -3.01412105560303
2258604060.91371 -3.00164985656738
2259441624.36548 -2.98917841911316
2260279187.81726 -2.98215079307556
2261116751.26904 -2.97517824172974
2261954314.72081 -2.96820545196533
2262791878.17259 -2.96123290061951
2263629441.62437 -2.95426034927368
2264467005.07614 -2.94726872444153
2265304568.52792 -2.94006085395813
2266142131.9797 -2.93285298347473
2266979695.43147 -2.92564511299133
2267817258.88325 -2.91843724250793
2268654822.33503 -2.91122937202454
2269492385.7868 -2.90503907203674
2270329949.23858 -2.90381669998169
2271167512.69036 -2.90259456634521
2272005076.14213 -2.90137243270874
2272842639.59391 -2.90015029907227
2273680203.04569 -2.89892792701721
2274517766.49746 -2.89947628974915
2275355329.94924 -2.90506291389465
2276192893.40102 -2.91064977645874
2277030456.85279 -2.91623663902283
2277868020.30457 -2.92182350158691
2278705583.75635 -2.927410364151
2279543147.20812 -2.9349410533905
2280380710.6599 -2.94608211517334
2281218274.11168 -2.95722317695618
2282055837.56345 -2.96836423873901
2282893401.01523 -2.97950530052185
2283730964.46701 -2.99064636230469
2284568527.91878 -3.00277400016785
2285406091.37056 -3.01615738868713
2286243654.82234 -3.02954077720642
2287081218.27411 -3.04292416572571
2287918781.72589 -3.056307554245
2288756345.17766 -3.06969094276428
2289593908.62944 -3.08557629585266
2290431472.08122 -3.10368037223816
2291269035.533 -3.12178421020508
2292106598.98477 -3.13988828659058
2292944162.43655 -3.15799236297607
2293781725.88832 -3.17609620094299
2294619289.3401 -3.21197700500488
2295456852.79188 -3.25875329971313
2296294416.24365 -3.30552935600281
2297131979.69543 -3.35230565071106
2297969543.14721 -3.39908170700073
2298807106.59898 -3.44585800170898
2299644670.05076 -3.47389268875122
2300482233.50254 -3.49427223205566
2301319796.95431 -3.51465177536011
2302157360.40609 -3.53503131866455
2302994923.85787 -3.55541086196899
2303832487.30964 -3.57579040527344
2304670050.76142 -3.58759808540344
2305507614.2132 -3.5972626209259
2306345177.66497 -3.60692715644836
2307182741.11675 -3.61659169197083
2308020304.56853 -3.62625622749329
2308857868.0203 -3.63592076301575
2309695431.47208 -3.64014410972595
2310532994.92386 -3.64369463920593
2311370558.37563 -3.64724540710449
2312208121.82741 -3.65079617500305
2313045685.27919 -3.65434670448303
2313883248.73096 -3.65789747238159
2314720812.18274 -3.66042375564575
2315558375.63452 -3.66292905807495
2316395939.08629 -3.66543459892273
2317233502.53807 -3.66793990135193
2318071065.98985 -3.67044520378113
2318908629.44162 -3.67258834838867
2319746192.8934 -3.66991639137268
2320583756.34518 -3.66724443435669
2321421319.79695 -3.6645724773407
2322258883.24873 -3.66190052032471
2323096446.70051 -3.65922880172729
2323934010.15228 -3.65625667572021
2324771573.60406 -3.65170860290527
2325609137.05584 -3.64716076850891
2326446700.50761 -3.64261293411255
2327284263.95939 -3.63806486129761
2328121827.41117 -3.63351702690125
2328959390.86294 -3.62800264358521
2329796954.31472 -3.61958980560303
2330634517.7665 -3.61117672920227
2331472081.21827 -3.60276365280151
2332309644.67005 -3.59435081481934
2333147208.12183 -3.58593773841858
2333984771.5736 -3.57625412940979
2334822335.02538 -3.56410431861877
2335659898.47716 -3.55195450782776
2336497461.92893 -3.53980445861816
2337335025.38071 -3.52765464782715
2338172588.83249 -3.51550459861755
2339010152.28426 -3.50295257568359
2339847715.73604 -3.48986744880676
2340685279.18782 -3.47678232192993
2341522842.63959 -3.46369695663452
2342360406.09137 -3.45061182975769
2343197969.54315 -3.43752670288086
2344035532.99492 -3.42432451248169
2344873096.4467 -3.41101431846619
2345710659.89848 -3.39770436286926
2346548223.35025 -3.38439416885376
2347385786.80203 -3.37108397483826
2348223350.25381 -3.35777378082275
2349060913.70558 -3.34059548377991
2349898477.15736 -3.32094407081604
2350736040.60914 -3.30129241943359
2351573604.06091 -3.28164100646973
2352411167.51269 -3.26198959350586
2353248730.96447 -3.24233794212341
2354086294.41624 -3.22814750671387
2354923857.86802 -3.21629738807678
2355761421.3198 -3.2044472694397
2356598984.77157 -3.19259715080261
2357436548.22335 -3.18074703216553
2358274111.67513 -3.16889715194702
2359111675.1269 -3.15663981437683
2359949238.57868 -3.14427423477173
2360786802.03046 -3.13190889358521
2361624365.48223 -3.1195433139801
2362461928.93401 -3.107177734375
2363299492.38579 -3.09481239318848
2364137055.83756 -3.0831925868988
2364974619.28934 -3.07167458534241
2365812182.74112 -3.06015658378601
2366649746.19289 -3.04863858222961
2367487309.64467 -3.03712058067322
2368324873.09645 -3.02560257911682
2369162436.54822 -3.01605653762817
2370000000 -3.00657153129578
2370837563.45178 -2.9970862865448
2371675126.90355 -2.9876012802124
2372512690.35533 -2.97811603546143
2373350253.80711 -2.96858501434326
2374187817.25888 -2.95833349227905
2375025380.71066 -2.94808173179626
2375862944.16244 -2.93783020973206
2376700507.61421 -2.92757868766785
2377538071.06599 -2.91732716560364
2378375634.51777 -2.90714049339294
2379213197.96954 -2.89732313156128
2380050761.42132 -2.88750553131104
2380888324.8731 -2.87768793106079
2381725888.32487 -2.86787056922913
2382563451.77665 -2.85805296897888
2383401015.22843 -2.84878849983215
2384238578.6802 -2.84127569198608
2385076142.13198 -2.83376288414001
2385913705.58376 -2.82624983787537
2386751269.03553 -2.8187370300293
2387588832.48731 -2.81122422218323
2388426395.93909 -2.80358481407166
2389263959.39086 -2.79568839073181
2390101522.84264 -2.78779220581055
2390939086.29442 -2.7798957824707
2391776649.74619 -2.77199959754944
2392614213.19797 -2.76410317420959
2393451776.64975 -2.75582337379456
2394289340.10152 -2.74701380729675
2395126903.5533 -2.73820400238037
2395964467.00508 -2.72939443588257
2396802030.45685 -2.72058486938477
2397639593.90863 -2.71177530288696
2398477157.36041 -2.70580506324768
2399314720.81218 -2.70256328582764
