Wavelength (nm);Absorbance Solution;Transmittance Solution
500.694;0.045;90.056
501.059;0.082;82.833
501.423;0.032;92.830
501.787;0.089;81.435
502.151;0.036;92.041
502.515;0.067;85.654
502.879;0.053;88.453
503.242;0.045;90.170
503.606;0.070;85.129
503.970;0.111;77.406
504.334;0.069;85.396
504.697;0.071;84.866
505.061;0.071;84.952
505.425;0.083;82.509
505.788;0.044;90.312
506.152;0.063;86.402
506.515;0.077;83.833
506.878;0.045;90.092
507.242;0.060;87.016
507.605;0.082;82.745
507.968;0.070;85.171
508.332;0.073;84.491
508.695;0.076;83.869
509.058;0.088;81.645
509.421;0.041;90.977
509.784;0.063;86.473
510.147;0.046;89.986
510.510;0.085;82.281
510.873;0.069;85.367
511.236;0.056;87.963
511.599;0.076;84.021
511.962;0.085;82.132
512.324;0.067;85.701
512.687;0.100;79.515
513.050;0.090;81.247
513.412;0.107;78.233
513.775;0.084;82.489
514.137;0.128;74.544
514.500;0.098;79.830
514.862;0.069;85.221
515.225;0.106;78.339
515.587;0.084;82.426
515.949;0.081;82.954
516.312;0.085;82.292
516.674;0.061;86.993
517.036;0.109;77.879
517.398;0.122;75.549
517.760;0.110;77.584
518.122;0.087;81.933
518.484;0.096;80.255
518.846;0.145;71.555
519.208;0.090;81.330
519.570;0.092;80.848
519.932;0.095;80.420
520.293;0.118;76.265
520.655;0.096;80.108
521.017;0.075;84.204
521.379;0.107;78.079
521.740;0.146;71.479
522.102;0.109;77.790
522.463;0.111;77.467
522.825;0.100;79.520
523.186;0.145;71.605
523.547;0.098;79.855
523.909;0.131;74.033
524.270;0.093;80.649
524.631;0.108;77.992
524.992;0.117;76.349
525.353;0.142;72.105
525.715;0.135;73.323
526.076;0.115;76.713
526.437;0.126;74.762
526.798;0.106;78.295
527.159;0.131;74.018
527.519;0.104;78.689
527.880;0.124;75.178
528.241;0.137;72.864
528.602;0.130;74.183
528.962;0.122;75.579
529.323;0.136;73.034
529.684;0.122;75.582
530.044;0.142;72.041
530.405;0.102;79.031
530.765;0.123;75.317
531.126;0.113;77.139
531.486;0.095;80.417
531.846;0.110;77.551
532.207;0.106;78.298
532.567;0.121;75.645
532.927;0.129;74.328
533.287;0.105;78.472
533.647;0.107;78.167
534.007;0.122;75.496
534.367;0.099;79.664
534.727;0.089;81.551
535.087;0.092;80.860
535.447;0.135;73.286
535.807;0.078;83.614
536.167;0.100;79.518
536.526;0.096;80.243
536.886;0.119;76.031
537.246;0.096;80.108
537.605;0.123;75.366
537.965;0.099;79.652
538.324;0.096;80.228
538.684;0.096;80.255
539.043;0.074;84.301
539.403;0.109;77.716
539.762;0.097;79.967
540.121;0.098;79.778
540.481;0.098;79.708
540.840;0.088;81.749
541.199;0.095;80.367
541.558;0.091;81.047
541.917;0.097;80.020
542.276;0.085;82.278
542.635;0.082;82.841
542.994;0.073;84.486
543.353;0.064;86.342
543.712;0.081;82.935
544.071;0.059;87.250
544.429;0.069;85.336
544.788;0.078;83.488
545.147;0.068;85.562
545.505;0.054;88.299
545.864;0.052;88.754
546.222;0.071;84.848
546.581;0.073;84.612
546.939;0.069;85.228
547.298;0.064;86.203
547.656;0.081;82.967
548.014;0.072;84.649
548.373;0.074;84.333
548.731;0.050;89.140
549.089;0.051;88.857
549.447;0.034;92.529
549.805;0.028;93.783
550.163;0.040;91.268
550.521;0.050;89.114
550.879;0.051;88.964
551.237;0.067;85.691
551.595;0.060;87.177
551.953;0.068;85.492
552.310;0.055;88.121
552.668;0.047;89.780
553.026;0.070;85.159
553.383;0.040;91.200
553.741;0.042;90.746
554.098;0.040;91.166
554.456;0.029;93.538
554.813;0.037;91.839
555.171;0.050;89.153
555.528;0.055;88.010
555.885;0.036;91.945
556.242;0.054;88.368
556.600;0.033;92.713
556.957;0.036;92.122
557.314;0.017;96.147
557.671;0.038;91.563
558.028;0.037;91.752
558.385;0.029;93.627
558.742;0.032;92.811
559.099;0.050;89.108
559.456;0.038;91.698
559.812;0.020;95.558
560.169;0.032;92.823
560.526;0.060;87.058
560.883;0.037;91.783
561.239;0.036;91.963
561.596;0.029;93.589
561.952;0.030;93.241
562.309;0.029;93.500
562.665;0.018;95.950
563.021;0.026;94.155
563.378;0.033;92.703
563.734;0.057;87.643
564.090;0.030;93.260
564.447;0.043;90.616
564.803;0.027;94.015
565.159;0.020;95.580
565.515;0.048;89.615
565.871;0.037;91.789
566.227;0.031;93.065
566.583;0.035;92.152
566.939;0.033;92.703
567.294;0.034;92.543
567.650;0.021;95.297
568.006;0.021;95.187
568.362;0.013;97.140
568.717;0.057;87.689
569.073;0.051;88.854
569.428;0.044;90.400
569.784;0.032;92.874
570.139;0.045;90.258
570.495;0.017;96.196
570.850;0.017;96.141
571.205;0.027;93.984
571.561;0.024;94.534
571.916;0.041;91.065
572.271;0.041;91.046
572.626;0.036;92.046
572.981;0.051;88.895
573.336;0.034;92.412
573.691;0.025;94.497
574.046;0.026;94.278
574.401;0.030;93.387
574.756;0.028;93.839
575.111;0.018;96.004
575.466;0.024;94.598
575.820;0.022;95.074
576.175;0.053;88.456
576.530;0.028;93.671
576.884;0.044;90.440
577.239;0.035;92.344
577.593;0.031;93.153
577.948;0.053;88.581
578.302;0.027;94.003
578.656;0.034;92.427
579.011;0.052;88.780
579.365;0.037;91.849
579.719;0.046;89.879
580.073;0.036;92.104
580.428;0.021;95.345
580.782;0.040;91.183
581.136;0.018;95.932
581.490;0.013;96.982
581.844;0.064;86.260
582.197;0.028;93.857
582.551;0.058;87.430
582.905;0.055;88.112
583.259;0.027;94.009
583.613;0.025;94.415
583.966;0.014;96.818
584.320;0.028;93.822
584.673;0.025;94.473
585.027;0.055;88.145
585.380;0.031;93.027
585.734;0.019;95.757
586.087;0.026;94.091
586.440;0.039;91.460
586.794;0.056;88.003
587.147;0.030;93.422
587.500;0.026;94.195
587.853;0.032;92.901
588.206;0.047;89.703
588.559;0.037;91.804
588.913;0.041;91.090
589.265;0.041;90.941
589.618;0.047;89.650
589.971;0.034;92.369
590.324;0.014;96.852
590.677;0.044;90.445
591.030;0.052;88.648
591.382;0.026;94.116
591.735;0.046;89.877
592.087;0.033;92.768
592.440;0.012;97.296
592.792;0.042;90.723
593.145;0.014;96.802
593.497;0.021;95.246
593.850;0.027;93.990
594.202;0.020;95.514
594.554;0.021;95.235
594.906;0.007;98.487
595.259;0.049;89.283
595.611;0.029;93.442
595.963;0.021;95.220
596.315;0.027;94.067
596.667;0.015;96.647
597.019;0.027;93.921
597.371;0.034;92.386
597.723;0.037;91.812
598.074;0.027;94.044
598.426;0.023;94.735
598.778;0.036;91.979
599.129;0.025;94.431
599.481;0.018;95.910
599.833;0.031;93.060
600.184;0.022;95.063
600.536;0.014;96.849
600.887;0.022;95.052
601.238;0.025;94.391
601.590;0.048;89.560
601.941;0.042;90.828
602.292;0.043;90.590
602.643;0.029;93.527
602.994;0.051;88.982
603.346;0.030;93.330
603.697;0.041;90.952
604.048;0.058;87.497
604.399;0.012;97.215
604.749;0.040;91.154
605.100;0.038;91.581
605.451;0.036;92.081
605.802;0.031;93.095
606.153;0.020;95.543
606.503;0.023;94.845
606.854;0.009;97.854
607.204;0.031;93.128
607.555;0.033;92.779
607.905;0.022;95.166
608.256;0.031;93.189
608.606;0.026;94.164
608.957;0.021;95.253
609.307;0.032;92.796
609.657;0.011;97.579
610.007;0.035;92.266
610.358;0.035;92.253
610.708;0.021;95.170
611.058;0.021;95.346
611.408;0.001;99.769
611.758;0.029;93.492
612.108;0.035;92.238
612.457;0.025;94.372
612.807;0.042;90.731
613.157;0.023;94.873
613.507;0.039;91.322
613.856;0.028;93.747
614.206;0.042;90.859
614.556;0.019;95.816
614.905;0.041;90.895
615.255;0.035;92.234
615.604;0.008;98.114
615.954;0.037;91.909
616.303;0.033;92.737
616.652;0.021;95.336
617.001;0.038;91.609
617.351;0.027;93.865
617.700;0.033;92.751
618.049;0.030;93.365
618.398;0.024;94.722
618.747;0.028;93.705
619.096;0.029;93.457
619.445;0.029;93.517
619.794;0.037;91.733
620.143;0.049;89.235
620.491;0.041;91.002
620.840;0.010;97.752
621.189;0.029;93.439
621.537;0.051;89.019
621.886;0.018;95.966
622.235;0.031;93.135
622.583;0.032;92.843
622.932;0.027;93.963
623.280;0.030;93.290
623.628;0.055;88.146
623.977;0.037;91.840
624.325;0.041;90.977
624.673;0.019;95.750
625.021;0.038;91.560
625.369;0.018;96.033
625.717;0.047;89.773
626.065;0.036;92.005
626.413;0.036;92.046
626.761;0.030;93.260
627.109;0.018;96.015
627.457;0.038;91.564
627.805;0.038;91.532
628.153;0.018;95.995
628.500;0.031;93.211
628.848;0.037;91.882
629.196;0.010;97.630
629.543;0.018;95.982
629.891;0.038;91.685
630.238;0.035;92.234
630.585;0.012;97.355
630.933;0.029;93.483
631.280;0.021;95.235
631.627;0.021;95.221
631.975;0.033;92.581
632.322;0.029;93.549
632.669;0.039;91.329
633.016;0.026;94.177
633.363;0.037;91.930
633.710;0.044;90.362
634.057;0.030;93.314
634.404;0.035;92.291
634.751;0.027;93.866
635.097;0.029;93.438
635.444;0.023;94.827
635.791;0.035;92.271
636.137;0.023;94.910
636.484;0.041;91.058
636.831;0.029;93.595
637.177;0.006;98.666
637.524;0.039;91.357
637.870;0.029;93.513
638.216;0.051;88.984
638.563;0.046;89.846
638.909;0.021;95.356
639.255;0.043;90.664
639.601;0.029;93.558
639.947;0.031;93.087
640.293;0.042;90.778
640.639;0.046;89.964
640.985;0.006;98.653
641.331;0.030;93.403
641.677;0.016;96.392
642.023;0.027;93.897
642.369;0.026;94.151
642.715;0.048;89.571
643.060;0.037;91.776
643.406;0.033;92.637
643.751;0.000;100.000
644.097;0.022;94.996
644.442;0.032;92.818
644.788;0.023;94.943
645.133;0.024;94.529
645.479;0.023;94.908
645.824;0.027;94.018
646.169;0.026;94.151
646.514;0.018;95.980
646.860;0.029;93.577
647.205;0.025;94.491
647.550;0.042;90.694
647.895;0.021;95.297
648.240;0.030;93.302
648.585;0.030;93.424
648.930;0.028;93.729
649.274;0.034;92.378
649.619;0.039;91.496
649.964;0.037;91.787
650.309;0.046;89.931
650.653;0.027;93.930
650.998;0.032;92.812
651.342;0.028;93.697
651.687;0.037;91.854
652.031;0.030;93.219
652.376;0.023;94.739
652.720;0.014;96.859
653.064;0.020;95.441
653.408;0.022;94.978
653.753;0.026;94.296
654.097;0.049;89.345
654.441;0.029;93.501
654.785;0.024;94.655
655.129;0.018;95.858
655.473;0.032;92.944
655.817;0.044;90.376
656.161;0.013;97.003
656.504;0.025;94.324
656.848;0.021;95.290
657.192;0.011;97.509
657.536;0.036;92.060
657.879;0.031;93.083
658.223;0.017;96.112
658.566;0.012;97.289
658.910;0.024;94.675
659.253;0.036;92.025
659.597;0.029;93.523
659.940;0.027;93.951
660.283;0.033;92.614
660.626;0.011;97.523
660.970;0.037;91.743
661.313;0.022;95.037
661.656;0.041;90.921
661.999;0.029;93.592
662.342;0.032;92.999
662.685;0.030;93.391
663.028;0.019;95.706
663.370;0.015;96.613
663.713;0.028;93.694
664.056;0.028;93.678
664.399;0.018;95.915
664.741;0.027;93.984
665.084;0.038;91.594
665.426;0.030;93.420
665.769;0.028;93.830
666.111;0.021;95.199
666.454;0.036;91.976
666.796;0.028;93.681
