Wavelength (nm);Intensity Source
759.067;4.175
759.396;4.102
759.724;4.126
760.053;4.102
760.381;4.150
760.709;4.297
761.038;4.321
761.366;4.297
761.694;4.272
762.022;4.248
762.351;4.150
762.679;4.053
763.007;4.077
763.335;4.224
763.663;4.224
763.990;4.150
764.318;4.199
764.646;4.224
764.974;4.199
765.301;4.150
765.629;4.077
765.957;4.150
766.284;4.224
766.612;4.175
766.939;4.150
767.266;4.175
767.594;4.150
767.921;4.126
768.248;4.102
768.575;4.126
768.902;4.175
769.229;4.199
769.556;4.248
769.883;4.248
770.210;4.175
770.537;4.175
770.864;4.248
771.191;4.248
771.517;4.199
771.844;4.126
772.171;4.077
772.497;4.028
772.824;4.053
773.150;4.175
773.476;4.248
773.803;4.272
774.129;4.272
774.455;4.321
774.781;4.346
775.107;4.346
775.434;4.297
775.760;4.224
776.086;4.248
776.411;4.370
776.737;4.419
777.063;4.272
777.389;4.224
777.715;4.321
778.040;4.321
778.366;4.248
778.691;4.199
779.017;4.199
779.342;4.224
779.668;4.199
779.993;4.150
780.318;4.224
780.644;4.150
780.969;4.102
781.294;4.150
781.619;4.102
781.944;4.053
782.269;4.102
782.594;4.199
782.919;4.297
783.244;4.370
783.568;4.321
783.893;4.175
784.218;4.102
784.542;4.102
784.867;4.102
785.192;4.102
785.516;4.126
785.840;4.150
786.165;4.102
786.489;4.077
786.813;4.102
787.138;4.102
787.462;4.126
787.786;4.248
788.110;4.492
788.434;4.565
788.758;4.492
789.082;4.346
789.406;4.224
789.729;4.224
790.053;4.175
790.377;4.175
790.700;4.297
791.024;4.248
791.348;4.102
791.671;4.077
791.994;4.321
792.318;4.370
792.641;4.175
792.964;4.150
793.288;4.150
793.611;4.150
793.934;4.126
794.257;4.102
794.580;4.102
794.903;4.102
795.226;4.150
795.549;4.199
795.871;4.297
796.194;4.248
796.517;4.150
796.840;4.126
797.162;4.126
797.485;4.199
797.807;4.321
798.130;4.272
798.452;4.224
798.774;4.199
799.097;4.175
799.419;4.102
799.741;4.102
800.063;4.248
800.385;4.297
800.707;4.248
801.029;4.272
801.351;4.199
801.673;4.224
801.995;4.321
802.317;4.590
802.638;4.712
802.960;4.565
803.281;4.419
803.603;4.297
803.924;4.224
804.246;4.150
804.567;4.077
804.889;4.126
805.210;4.126
805.531;4.126
805.852;4.224
806.173;4.321
806.495;4.248
806.816;4.150
807.137;4.175
807.457;4.199
807.778;4.199
808.099;4.272
808.420;4.272
808.741;4.224
809.061;4.175
809.382;4.150
809.702;4.150
810.023;4.077
810.343;4.224
810.664;4.346
810.984;4.297
811.304;4.224
811.625;4.199
811.945;4.199
812.265;4.297
812.585;4.297
812.905;4.297
813.225;4.272
813.545;4.297
813.865;4.395
814.184;4.321
814.504;4.199
814.824;4.199
815.144;4.102
815.463;4.102
815.783;4.150
816.102;4.077
816.422;4.004
816.741;4.004
817.060;4.004
817.380;3.955
817.699;3.979
818.018;4.053
818.337;4.224
818.656;4.150
818.975;4.004
819.294;4.028
819.613;4.102
819.932;4.126
820.251;4.102
820.570;4.053
820.888;4.028
821.207;4.102
821.526;4.150
821.844;4.102
822.163;4.102
