Wavelength (nm);Intensity Source
757.423;4.150
757.752;4.150
758.081;4.102
758.410;4.077
758.738;4.102
759.067;4.150
759.396;4.150
759.724;4.126
760.053;4.126
760.381;4.150
760.709;4.248
761.038;4.297
761.366;4.248
761.694;4.175
762.022;4.175
762.351;4.126
762.679;4.077
763.007;4.077
763.335;4.126
763.663;4.126
763.990;4.102
764.318;4.102
764.646;4.102
764.974;4.126
765.301;4.126
765.629;4.175
765.957;4.199
766.284;4.150
766.612;4.126
766.939;4.102
767.266;4.102
767.594;4.053
767.921;4.028
768.248;4.004
768.575;4.028
768.902;4.077
769.229;4.102
769.556;4.224
769.883;4.321
770.210;4.224
770.537;4.053
770.864;4.028
771.191;4.126
771.517;4.175
771.844;4.199
772.171;4.199
772.497;4.199
772.824;4.126
773.150;4.102
773.476;4.102
773.803;4.077
774.129;4.102
774.455;4.150
774.781;4.175
775.107;4.028
775.434;3.931
775.760;3.955
776.086;3.979
776.411;4.028
776.737;4.077
777.063;4.102
777.389;4.102
777.715;4.077
778.040;4.077
778.366;4.077
778.691;4.077
779.017;4.053
779.342;4.102
779.668;4.102
779.993;4.053
780.318;4.004
780.644;4.004
780.969;3.955
781.294;4.077
781.619;4.175
781.944;4.126
782.269;4.126
782.594;4.150
782.919;4.150
783.244;4.102
783.568;4.028
783.893;4.004
784.218;4.053
784.542;4.077
784.867;4.053
785.192;4.028
785.516;3.979
785.840;3.955
786.165;4.004
786.489;4.028
786.813;4.028
787.138;4.102
787.462;4.199
787.786;4.272
788.110;4.395
788.434;4.419
788.758;4.346
789.082;4.321
789.406;4.224
789.729;4.150
790.053;4.077
790.377;4.053
790.700;4.077
791.024;4.028
791.348;4.004
791.671;4.004
791.994;4.053
792.318;4.175
792.641;4.199
792.964;4.150
793.288;4.102
793.611;4.053
793.934;4.004
794.257;4.053
794.580;4.102
794.903;4.053
795.226;4.028
795.549;4.004
795.871;4.028
796.194;4.077
796.517;4.102
796.840;4.102
797.162;4.077
797.485;4.053
797.807;4.199
798.130;4.272
798.452;4.224
798.774;4.175
799.097;4.053
799.419;4.053
799.741;4.102
800.063;4.175
800.385;4.150
800.707;4.077
801.029;4.028
801.351;3.979
801.673;3.955
801.995;3.955
802.317;4.028
802.638;4.077
802.960;4.102
803.281;4.126
803.603;4.224
803.924;4.199
804.246;4.077
804.567;4.053
804.889;4.028
805.210;4.004
805.531;3.979
805.852;4.102
806.173;4.224
806.495;4.175
806.816;4.102
807.137;4.077
807.457;4.126
807.778;4.126
808.099;4.126
808.420;4.126
808.741;4.150
809.061;4.150
809.382;4.077
809.702;4.077
810.023;4.077
810.343;4.102
810.664;4.126
810.984;4.102
811.304;4.077
811.625;4.102
811.945;4.102
812.265;4.150
812.585;4.199
812.905;4.199
813.225;4.199
813.545;4.126
813.865;4.126
814.184;4.102
814.504;4.077
814.824;4.053
815.144;4.053
815.463;4.126
815.783;4.102
816.102;4.102
816.422;4.126
816.741;4.126
817.060;4.077
817.380;4.077
817.699;4.126
818.018;4.150
818.337;4.053
818.656;4.053
818.975;4.077
819.294;4.102
819.613;4.077
819.932;4.077
820.251;4.126
820.570;4.102
820.888;4.028
821.207;4.053
821.526;4.077
821.844;4.077
822.163;4.150
822.481;4.175
822.799;4.077
823.118;4.053
823.436;4.077
823.754;4.077
824.072;4.126
824.390;4.126
824.709;4.150
825.027;4.150
825.345;4.150
825.662;4.102
825.980;4.102
826.298;4.077
826.616;4.028
826.934;4.028
827.251;4.004
827.569;3.955
827.886;3.931
828.204;3.955
828.521;3.979
828.839;3.979
829.156;3.979
829.473;3.979
829.790;4.004
830.108;4.077
830.425;4.077
830.742;4.053
831.059;4.053
831.376;4.077
831.693;4.077
832.009;4.102
832.326;4.102
832.643;4.102
832.960;4.126
833.276;4.126
833.593;4.126
833.909;4.126
834.226;4.150
834.542;4.126
834.859;4.102
835.175;4.028
835.491;4.053
835.807;4.077
836.123;4.102
836.440;4.126
836.756;4.102
837.072;4.102
837.388;4.102
837.703;4.126
838.019;4.102
838.335;4.077
838.651;4.150
838.966;4.224
839.282;4.199
839.598;4.199
839.913;4.199
840.229;4.126
840.544;4.102
840.859;4.175
841.175;4.175
841.490;4.150
841.805;4.102
842.120;4.077
842.435;4.126
842.750;4.077
843.065;4.028
843.380;3.979
843.695;4.004
844.010;4.053
844.325;4.028
844.639;4.053
844.954;4.102
845.269;4.102
845.583;4.053
845.898;4.028
846.212;4.053
846.526;4.028
846.841;4.028
847.155;4.102
847.469;4.150
847.783;4.175
848.097;6.177
848.412;5.469
848.726;4.565
849.039;4.272
849.353;4.175
849.667;4.150
849.981;4.102
850.295;4.028
850.608;3.955
850.922;3.906
851.236;3.906
851.549;3.931
851.863;3.979
852.176;4.028
852.489;4.077
852.803;4.102
853.116;4.077
853.429;4.077
853.742;4.102
854.055;4.126
854.368;4.077
854.681;4.053
854.994;4.004
855.307;3.955
855.620;3.955
855.933;3.979
856.246;3.955
856.558;3.979
856.871;4.028
857.183;4.077
857.496;4.028
857.808;4.077
858.121;4.077
858.433;4.102
858.745;4.150
859.058;4.126
859.370;4.077
859.682;4.053
859.994;4.077
860.306;4.102
860.618;4.126
860.930;4.053
