Wave;Sample;Dark;Reference
323.991;249.900;21.517;0.000
324.009;155.950;3.000;0.000
324.028;307.250;19.793;0.000
324.046;270.450;4.655;0.000
324.065;329.250;23.310;0.000
324.083;220.850;0.862;0.000
324.102;62.550;-7.759;0.000
324.121;165.050;8.655;0.000
324.139;325.850;11.276;0.000
324.158;330.100;14.138;0.000
324.176;224.250;-2.621;0.000
324.195;413.700;23.276;0.000
324.213;294.750;1.034;0.000
324.232;157.350;-12.517;0.000
324.250;280.750;-4.931;0.000
324.269;199.450;-10.828;0.000
324.287;364.350;-3.103;0.000
324.306;286.850;13.207;0.000
324.324;392.100;18.448;0.000
324.342;444.750;19.034;0.000
324.361;282.400;12.138;0.000
324.379;188.700;-12.310;0.000
324.398;381.750;27.138;0.000
324.416;120.500;-8.517;0.000
324.435;425.250;22.069;0.000
324.453;331.650;21.690;0.000
324.472;554.250;23.414;0.000
324.490;390.500;1.897;0.000
324.509;421.450;7.517;0.000
324.527;425.100;16.103;0.000
324.546;513.550;19.931;0.000
324.564;448.350;15.759;0.000
324.583;812.850;28.034;0.000
324.601;619.650;15.448;0.000
324.619;640.300;8.552;0.000
324.638;689.500;15.828;0.000
324.656;731.100;12.552;0.000
324.675;564.900;-4.828;0.000
324.693;720.350;8.103;0.000
324.712;845.900;3.724;0.000
324.730;757.600;18.724;0.000
324.748;666.200;26.483;0.000
324.767;736.600;19.966;0.000
324.785;554.400;-7.655;0.000
324.804;700.550;7.069;0.000
324.822;655.100;-21.207;0.000
324.841;821.600;2.517;0.000
324.859;958.700;10.000;0.000
324.877;1115.800;6.897;0.000
324.896;1016.950;9.552;0.000
324.914;828.850;-9.138;0.000
324.933;1238.250;21.655;0.000
324.951;1119.300;15.483;0.000
324.969;961.300;4.241;0.000
324.988;1053.700;21.103;0.000
325.006;1011.100;10.966;0.000
325.025;1070.500;19.759;0.000
325.043;709.550;-10.483;0.000
325.061;936.900;1.793;0.000
325.080;1203.900;10.483;0.000
325.098;1375.400;6.828;0.000
325.117;1694.500;10.414;0.000
325.135;2852.950;23.345;0.000
325.153;4205.250;14.517;0.000
325.172;5367.050;5.897;0.000
325.190;5095.200;22.172;0.000
325.208;2848.100;15.276;0.000
325.227;1426.100;11.586;0.000
325.245;925.950;3.966;0.000
325.264;989.750;24.724;0.000
325.282;821.150;-1.207;0.000
325.300;772.750;-1.862;0.000
325.319;697.500;8.172;0.000
325.337;540.450;-0.966;0.000
325.355;514.900;-2.138;0.000
325.374;589.950;9.034;0.000
325.392;448.100;-0.207;0.000
325.410;635.600;32.379;0.000
325.429;394.150;-5.172;0.000
325.447;681.650;24.414;0.000
325.465;517.150;4.414;0.000
325.484;459.300;12.862;0.000
325.502;718.300;18.690;0.000
325.520;571.500;21.034;0.000
325.539;404.300;-7.828;0.000
325.557;343.250;-3.621;0.000
325.575;593.600;9.621;0.000
325.594;569.350;14.414;0.000
325.612;737.300;15.793;0.000
325.630;483.850;4.379;0.000
325.649;561.100;-3.448;0.000
325.667;909.250;26.759;0.000
325.685;773.100;3.414;0.000
325.703;665.800;-5.414;0.000
325.722;776.800;9.448;0.000
325.740;755.700;5.690;0.000
325.758;805.200;4.414;0.000
325.777;939.050;-25.207;0.000
325.795;1386.300;-0.345;0.000
325.813;2167.600;18.448;0.000
325.831;3690.350;17.586;0.000
325.850;5807.850;-9.517;0.000
325.868;10477.800;24.103;0.000
325.886;17692.650;17.138;0.000
325.905;30623.800;11.172;0.000
325.923;46755.450;21.172;0.000
325.941;63896.950;135.241;0.000
325.959;64064.650;27.897;0.000
325.978;64093.700;-2.241;0.000
325.996;64064.650;19.069;0.000
326.014;64093.700;23.621;0.000
326.032;64064.650;1.103;0.000
326.051;64093.700;-10.690;0.000
326.069;64064.650;-6.759;0.000
326.087;64093.700;22.621;0.000
326.105;64064.650;17.000;0.000
326.124;64093.700;7.862;0.000
326.142;64064.650;6.759;0.000
326.160;64093.700;5.276;0.000
326.178;64064.650;21.897;0.000
326.197;64093.700;19.138;0.000
326.215;64064.650;1.759;0.000
326.233;64093.700;-1.966;0.000
326.251;64064.650;-6.552;0.000
326.270;64093.700;24.207;0.000
326.288;63357.050;18.310;0.000
326.306;63477.000;1.034;0.000
326.324;2400.050;11.138;0.000
326.342;2681.950;55.276;0.000
326.361;1904.750;13.828;0.000
326.379;1731.450;15.552;0.000
326.397;1339.900;-3.138;0.000
326.415;1435.000;-0.552;0.000
326.434;1662.700;36.862;0.000
326.452;1488.600;33.552;0.000
326.470;1174.850;5.207;0.000
326.488;1383.900;31.862;0.000
326.506;1316.300;9.276;0.000
326.525;979.100;-4.138;0.000
326.543;1023.800;14.552;0.000
326.561;951.200;-1.586;0.000
326.579;1256.050;21.966;0.000
326.597;1093.100;22.172;0.000
326.615;1046.350;5.103;0.000
326.634;985.950;10.897;0.000
326.652;865.400;8.931;0.000
326.670;748.200;-4.034;0.000
326.688;756.150;4.276;0.000
326.706;930.100;17.379;0.000
326.724;915.300;-1.828;0.000
326.743;1115.400;30.207;0.000
326.761;1115.350;24.241;0.000
326.779;884.550;2.000;0.000
326.797;919.750;-2.966;0.000
326.815;919.100;10.310;0.000
326.833;735.750;12.414;0.000
326.852;923.650;3.586;0.000
326.870;823.850;5.207;0.000
326.888;893.650;4.241;0.000
326.906;1068.900;21.517;0.000
326.924;959.500;4.724;0.000
326.942;1048.700;29.379;0.000
326.960;999.050;-7.828;0.000
326.979;1067.050;11.483;0.000
326.997;1049.050;13.483;0.000
327.015;785.550;11.931;0.000
327.033;637.950;-13.552;0.000
327.051;780.900;4.069;0.000
327.069;672.000;14.310;0.000
327.087;956.800;13.517;0.000
327.105;898.750;22.172;0.000
327.123;881.600;2.138;0.000
327.142;833.300;-2.621;0.000
327.160;815.150;-6.586;0.000
327.178;833.500;0.724;0.000
327.196;915.450;-9.034;0.000
327.214;1151.700;9.655;0.000
327.232;1288.600;11.172;0.000
327.250;1363.450;17.931;0.000
327.268;978.550;4.828;0.000
327.286;866.150;11.138;0.000
327.304;707.950;13.517;0.000
327.323;599.800;12.897;0.000
327.341;639.450;-1.828;0.000
327.359;973.600;29.207;0.000
327.377;630.950;9.379;0.000
327.395;890.100;41.483;0.000
327.413;449.400;23.414;0.000
327.431;611.650;10.069;0.000
327.449;524.050;11.897;0.000
327.467;619.700;21.345;0.000
327.485;663.350;11.345;0.000
327.503;627.500;0.793;0.000
327.521;408.700;-3.276;0.000
327.539;458.650;5.793;0.000
327.557;406.400;13.448;0.000
327.575;329.450;-4.310;0.000
327.593;386.950;1.862;0.000
327.612;235.000;7.000;0.000
327.630;403.400;17.552;0.000
327.648;255.450;7.310;0.000
327.666;173.650;-13.586;0.000
327.684;310.800;13.690;0.000
327.702;220.100;0.414;0.000
327.720;221.900;8.000;0.000
327.738;275.000;5.448;0.000
327.756;283.700;16.931;0.000
327.774;271.050;20.138;0.000
327.792;325.700;5.172;0.000
327.810;175.000;-3.034;0.000
327.828;286.650;13.586;0.000
327.846;164.050;-1.103;0.000
327.864;162.350;-1.517;0.000
327.882;202.100;-1.483;0.000
327.900;158.800;-1.103;0.000
327.918;416.400;19.793;0.000
327.936;149.050;-2.724;0.000
327.954;296.600;13.897;0.000
327.972;306.900;7.862;0.000
327.990;54.200;-7.448;0.000
328.008;241.550;7.414;0.000
328.026;130.850;-8.690;0.000
328.044;123.750;3.793;0.000
328.062;142.150;-0.103;0.000
328.080;166.150;-3.931;0.000
328.098;229.350;16.483;0.000
328.116;203.400;15.379;0.000
328.134;126.600;-11.828;0.000
328.152;2.350;0.241;0.000
328.170;-66.950;-2.759;0.000
328.188;-22.750;-20.690;0.000
328.206;227.800;18.655;0.000
328.224;265.150;13.172;0.000
328.242;-0.650;-11.241;0.000
328.260;69.200;2.276;0.000
328.277;208.850;-1.276;0.000
328.295;154.400;27.517;0.000
328.313;2.750;-8.345;0.000
328.331;228.300;15.034;0.000
328.349;-122.700;-17.621;0.000
328.367;77.150;-10.000;0.000
328.385;3.250;-6.655;0.000
328.403;216.700;16.069;0.000
328.421;72.850;1.586;0.000
328.439;-22.200;-10.483;0.000
328.457;92.000;1.655;0.000
328.475;35.450;1.172;0.000
328.493;115.100;-5.241;0.000
328.511;0.600;-2.862;0.000
328.529;7.250;-4.586;0.000
328.546;46.450;5.483;0.000
328.564;48.350;-0.966;0.000
328.582;-4.100;-11.828;0.000
328.600;35.850;2.897;0.000
328.618;166.050;-9.103;0.000
328.636;99.700;21.517;0.000
328.654;72.150;2.586;0.000
328.672;43.400;7.828;0.000
328.690;-82.400;-5.793;0.000
328.708;186.150;21.655;0.000
328.725;123.200;4.448;0.000
328.743;116.700;16.448;0.000
328.761;204.450;27.310;0.000
328.779;151.350;3.690;0.000
328.797;131.150;19.552;0.000
328.815;125.200;15.724;0.000
328.833;22.100;-4.034;0.000
328.851;152.200;-1.241;0.000
328.869;155.550;-0.207;0.000
328.886;58.100;0.552;0.000
328.904;-57.350;-26.310;0.000
328.922;128.200;3.621;0.000
328.940;28.900;4.793;0.000
328.958;-16.850;5.069;0.000
328.976;161.800;24.138;0.000
328.994;232.700;28.241;0.000
329.011;145.850;10.207;0.000
329.029;2.600;-1.345;0.000
329.047;102.050;15.552;0.000
329.065;22.050;-0.655;0.000
329.083;88.150;10.552;0.000
329.101;124.000;12.586;0.000
329.118;59.550;2.000;0.000
329.136;206.000;10.517;0.000
329.154;-34.850;1.448;0.000
329.172;200.950;16.069;0.000
329.190;-24.300;-2.897;0.000
329.208;-11.350;-5.517;0.000
329.225;397.000;42.621;0.000
329.243;-66.650;-10.172;0.000
329.261;126.200;11.448;0.000
329.279;2.000;-0.241;0.000
329.297;123.700;18.379;0.000
329.315;49.750;8.586;0.000
329.332;121.250;5.414;0.000
329.350;58.700;19.724;0.000
329.368;119.950;2.586;0.000
329.386;59.200;3.241;0.000
329.404;91.850;0.586;0.000
329.421;17.200;-3.069;0.000
329.439;102.500;0.483;0.000
329.457;25.300;-10.586;0.000
329.475;-32.400;-7.621;0.000
329.492;89.950;25.310;0.000
329.510;-62.750;-12.655;0.000
329.528;347.150;49.069;0.000
329.546;344.900;15.414;0.000
329.564;-111.500;-13.379;0.000
329.581;47.150;-3.621;0.000
329.599;103.200;20.207;0.000
329.617;-101.000;-18.552;0.000
329.635;87.850;14.034;0.000
329.652;33.000;-0.345;0.000
329.670;-27.100;1.759;0.000
329.688;131.000;11.379;0.000
329.706;-28.850;0.172;0.000
329.723;249.100;25.793;0.000
329.741;86.600;-3.828;0.000
329.759;25.250;0.345;0.000
329.777;158.550;10.172;0.000
329.794;114.900;4.379;0.000
329.812;52.450;3.034;0.000
329.830;121.350;5.310;0.000
329.848;101.150;8.414;0.000
329.865;378.450;32.414;0.000
329.883;8.150;-4.552;0.000
329.901;227.000;32.276;0.000
329.919;165.250;10.690;0.000
329.936;97.700;10.724;0.000
329.954;38.250;7.414;0.000
329.972;47.350;-2.897;0.000
329.989;18.400;-11.690;0.000
330.007;135.550;15.379;0.000
330.025;-18.100;-11.724;0.000
330.043;-91.750;-10.552;0.000
330.060;88.300;7.690;0.000
330.078;-95.200;-19.345;0.000
