Frequency Magnitude
821814128.595601 -23.6802062988281
824335274.957699 -23.769157409668
826856421.319797 -23.8581085205078
829377567.681895 -23.9470596313477
831898714.043993 -24.0542068481445
834419860.406091 -24.1623134613037
836941006.76819 -24.2704181671143
839462153.130288 -24.3785228729248
841983299.492386 -24.486629486084
844504445.854484 -24.5936985015869
847025592.216582 -24.6758975982666
849546738.57868 -24.7580966949463
852067884.940778 -24.840295791626
854589031.302876 -24.9224948883057
857110177.664975 -25.0046939849854
859631324.027073 -25.0891380310059
862152470.389171 -25.1886043548584
864673616.751269 -25.2880687713623
867194763.113367 -25.3875350952148
869715909.475465 -25.4870014190674
872237055.837564 -25.5864658355713
874758202.199662 -25.6831359863281
877279348.56176 -25.7698936462402
879800494.923858 -25.856653213501
882321641.285956 -25.9434108734131
884842787.648054 -26.0301704406738
887363934.010152 -26.1169281005859
889885080.37225 -26.2017555236816
892406226.734349 -26.282283782959
894927373.096447 -26.3628120422363
897448519.458545 -26.4433403015137
899969665.820643 -26.523868560791
902490812.182741 -26.6043968200684
905011958.544839 -26.687572479248
907533104.906937 -26.7747173309326
910054251.269036 -26.8618621826172
912575397.631134 -26.9490089416504
915096543.993232 -27.036153793335
917617690.35533 -27.1232986450195
920138836.717428 -27.1990146636963
922659983.079526 -27.2628326416016
925181129.441624 -27.3266506195068
927702275.803723 -27.3904685974121
930223422.165821 -27.4542846679688
932744568.527919 -27.518102645874
935265714.890017 -27.5656566619873
937786861.252115 -27.601432800293
940308007.614213 -27.6372108459473
942829153.976311 -27.6729869842529
945350300.33841 -27.7087631225586
947871446.700508 -27.7445392608643
950392593.062606 -27.7603950500488
952913739.424704 -27.7664413452148
955434885.786802 -27.7724857330322
957956032.1489 -27.7785320281982
960477178.510998 -27.7845764160156
962998324.873096 -27.790620803833
965519471.235195 -27.7896556854248
968040617.597293 -27.7864780426025
970561763.959391 -27.7832984924316
973082910.321489 -27.7801189422607
975604056.683587 -27.7769412994385
978125203.045685 -27.7737617492676
980646349.407783 -27.7842445373535
983167495.769882 -27.7971382141113
985688642.13198 -27.8100337982178
988209788.494078 -27.8229274749756
990730934.856176 -27.8358211517334
993252081.218274 -27.8487148284912
995773227.580372 -27.8823318481445
998294373.94247 -27.9172706604004
1000815520.30457 -27.9522094726563
1003336666.66667 -27.9871482849121
1005857813.02876 -28.022087097168
1008378959.39086 -28.0597476959229
1010900105.75296 -28.185453414917
1013421252.11506 -28.3111591339111
1015942398.47716 -28.4368648529053
1018463544.83926 -28.5625705718994
1020984691.20135 -28.6882762908936
1023505837.56345 -28.8156547546387
1026026983.92555 -28.9553070068359
1028548130.28765 -29.0949611663818
1031069276.64975 -29.2346134185791
1033590423.01184 -29.3742656707764
1036111569.37394 -29.5139198303223
1038632715.73604 -29.6574325561523
1041153862.09814 -29.8154735565186
1043675008.46024 -29.9735145568848
1046196154.82234 -30.131555557251
1048717301.18443 -30.2895965576172
1051238447.54653 -30.4476375579834
1053759593.90863 -30.5957508087158
1056280740.27073 -30.7206993103027
1058801886.63283 -30.8456478118896
1061323032.99492 -30.9705963134766
1063844179.35702 -31.0955448150635
1066365325.71912 -31.2204933166504
1068886472.08122 -31.3290023803711
1071407618.44332 -31.4117984771729
1073928764.80541 -31.4945945739746
1076449911.16751 -31.5773906707764
1078971057.52961 -31.6601867675781
1081492203.89171 -31.7429828643799
1084013350.25381 -31.7866897583008
1086534496.61591 -31.7880516052246
1089055642.978 -31.7894115447998
1091576789.3401 -31.790771484375
1094097935.7022 -31.7921314239502
1096619082.0643 -31.7934913635254
1099140228.4264 -31.7486000061035
1101661374.78849 -31.6688175201416
1104182521.15059 -31.5890350341797
1106703667.51269 -31.5092525482178
1109224813.87479 -31.4294700622559
1111745960.23689 -31.3496875762939
1114267106.59898 -31.2891178131104
1116788252.96108 -31.2384433746338
1119309399.32318 -31.1877708435059
1121830545.68528 -31.1370983123779
1124351692.04738 -31.0864238739014
1126872838.40948 -31.0357513427734
1129393984.77157 -31.0585632324219
1131915131.13367 -31.1058712005615
1134436277.49577 -31.1531772613525
1136957423.85787 -31.2004852294922
1139478570.21997 -31.2477931976318
1141999716.58206 -31.2951011657715
1144520862.94416 -31.4232788085938
1147042009.30626 -31.5668601989746
1149563155.66836 -31.7104434967041
1152084302.03046 -31.854024887085
1154605448.39256 -31.9976081848145
1157126594.75465 -32.1411895751953
1159647741.11675 -32.3156509399414
1162168887.47885 -32.4924354553223
1164690033.84095 -32.6692199707031
1167211180.20305 -32.846004486084
1169732326.56514 -33.0227890014648
1172253472.92724 -33.1993789672852
1174774619.28934 -33.3665466308594
1177295765.65144 -33.5337104797363
1179816912.01354 -33.7008781433105
1182338058.37563 -33.8680419921875
1184859204.73773 -34.0352096557617
1187380351.09983 -34.2000503540039
1189901497.46193 -34.3460807800293
1192422643.82403 -34.492115020752
1194943790.18613 -34.6381454467773
1197464936.54822 -34.7841796875
1199986082.91032 -34.9302101135254
1202507229.27242 -35.0663871765137
1205028375.63452 -35.1631393432617
1207549521.99662 -35.2598915100098
1210070668.35871 -35.3566474914551
1212591814.72081 -35.4533996582031
1215112961.08291 -35.5501518249512
1217634107.44501 -35.6322250366211
1220155253.80711 -35.6783599853516
1222676400.1692 -35.724494934082
1225197546.5313 -35.7706298828125
1227718692.8934 -35.816764831543
1230239839.2555 -35.8628997802734
1232760985.6176 -35.8982162475586
1235282131.9797 -35.9158782958984
1237803278.34179 -35.9335403442383
1240324424.70389 -35.9512062072754
1242845571.06599 -35.9688682556152
1245366717.42809 -35.9865341186523
1247887863.79019 -35.976390838623
1250409010.15228 -35.934886932373
1252930156.51438 -35.8933868408203
1255451302.87648 -35.8518829345703
1257972449.23858 -35.8103828430176
1260493595.60068 -35.7688789367676
1263014741.96277 -35.8247299194336
1265535888.32487 -35.9570732116699
1268057034.68697 -36.089412689209
1270578181.04907 -36.2217559814453
1273099327.41117 -36.3540992736816
1275620473.77327 -36.486442565918
1278141620.13536 -36.6508140563965
1280662766.49746 -36.8324394226074
1283183912.85956 -37.0140609741211
1285705059.22166 -37.195686340332
1288226205.58376 -37.377311706543
1290747351.94585 -37.5589332580566
1293268498.30795 -37.733226776123
1295789644.67005 -37.9049491882324
1298310791.03215 -38.0766677856445
1300831937.39425 -38.2483901977539
1303353083.75635 -38.420108795166
1305874230.11844 -38.5918273925781
1308395376.48054 -38.7247924804688
1310916522.84264 -38.8498191833496
1313437669.20474 -38.9748458862305
1315958815.56684 -39.0998725891113
1318479961.92893 -39.2248992919922
1321001108.29103 -39.349925994873
1323522254.65313 -39.5371856689453
1326043401.01523 -39.7298583984375
1328564547.37733 -39.9225311279297
1331085693.73942 -40.1152038574219
1333606840.10152 -40.3078727722168
1336127986.46362 -40.4998016357422
1338649132.82572 -40.6179695129395
1341170279.18782 -40.7361373901367
1343691425.54992 -40.854305267334
1346212571.91201 -40.9724731445313
1348733718.27411 -41.0906410217285
1351254864.63621 -41.2031211853027
1353776010.99831 -41.2644348144531
1356297157.36041 -41.3257522583008
1358818303.7225 -41.3870658874512
1361339450.0846 -41.4483795166016
1363860596.4467 -41.509693145752
1366381742.8088 -41.5806312561035
1368902889.1709 -41.6925964355469
1371424035.53299 -41.8045654296875
1373945181.89509 -41.9165344238281
1376466328.25719 -42.0284996032715
1378987474.61929 -42.1404685974121
1381508620.98139 -42.2534217834473
1384029767.34349 -42.3689193725586
1386550913.70558 -42.4844131469727
1389072060.06768 -42.599910736084
1391593206.42978 -42.715404510498
1394114352.79188 -42.8309020996094
1396635499.15398 -42.9632720947266
1399156645.51607 -43.1243782043457
1401677791.87817 -43.2854881286621
1404198938.24027 -43.4465942382813
1406720084.60237 -43.6077003479004
1409241230.96447 -43.7688064575195
1411762377.32657 -43.9392700195313
1414283523.68866 -44.1207160949707
1416804670.05076 -44.3021621704102
1419325816.41286 -44.4836082458496
1421846962.77496 -44.6650581359863
1424368109.13706 -44.8465042114258
1426889255.49915 -45.0837059020996
1429410401.86125 -45.3665313720703
1431931548.22335 -45.6493530273438
1434452694.58545 -45.9321784973145
1436973840.94755 -46.2150001525879
1439494987.30964 -46.4978218078613
1442016133.67174 -46.7495155334473
1444537280.03384 -46.9836921691895
1447058426.39594 -47.2178726196289
1449579572.75804 -47.4520492553711
1452100719.12014 -47.6862297058105
1454621865.48223 -47.9204063415527
1457143011.84433 -48.2474517822266
1459664158.20643 -48.6088447570801
1462185304.56853 -48.9702415466309
1464706450.93063 -49.3316345214844
1467227597.29272 -49.6930274963379
1469748743.65482 -50.0544204711914
1472269890.01692 -50.4042549133301
1474791036.37902 -50.7515487670898
1477312182.74112 -51.0988464355469
1479833329.10321 -51.4461402893066
1482354475.46531 -51.7934379577637
1484875621.82741 -52.1407318115234
1487396768.18951 -52.2923049926758
1489917914.55161 -52.4245185852051
1492439060.91371 -52.5567359924316
1494960207.2758 -52.6889495849609
1497481353.6379 -52.8211669921875
1500002500 -52.9533805847168
1502523646.3621 -52.8555603027344
1505044792.7242 -52.7577362060547
1507565939.08629 -52.6599159240723
1510087085.44839 -52.5620918273926
1512608231.81049 -52.4642715454102
1515129378.17259 -52.3599395751953
1517650524.53469 -52.1898193359375
1520171670.89679 -52.0196952819824
