# lambda/AA  F/Fc
6599.2328 0.972551
6599.2312 0.972992
6599.2295 0.973599
6599.2279 0.974014
6599.2262 0.974249
6599.2246 0.974651
6599.2230 0.975068
6599.2213 0.975179
6599.2197 0.975148
6599.2180 0.975132
6599.2164 0.975060
6599.2148 0.974989
6599.2131 0.974926
6599.2115 0.974770
6599.2098 0.974618
6599.2082 0.974482
6599.2066 0.974157
6599.2049 0.973689
6599.2033 0.973313
6599.2016 0.972998
6599.2000 0.972625
6599.1983 0.972203
6599.1967 0.971616
6599.1951 0.970702
6599.1934 0.969653
6599.1918 0.968823
6599.1901 0.968207
6599.1885 0.967583
6599.1869 0.966867
6599.1852 0.966013
6599.1836 0.965037
6599.1819 0.964130
6599.1803 0.963300
6599.1787 0.962287
6599.1770 0.960966
6599.1754 0.959415
6599.1737 0.957826
6599.1721 0.956457
6599.1705 0.955246
6599.1688 0.953887
6599.1672 0.952421
6599.1655 0.951007
6599.1639 0.949553
6599.1623 0.948093
6599.1606 0.946734
6599.1590 0.945320
6599.1573 0.943768
6599.1557 0.942189
6599.1540 0.940637
6599.1524 0.939180
6599.1508 0.937729
6599.1491 0.935973
6599.1475 0.934023
6599.1458 0.932332
6599.1442 0.930874
6599.1426 0.929373
6599.1409 0.927890
6599.1393 0.926556
6599.1376 0.925277
6599.1360 0.923871
6599.1344 0.922328
6599.1327 0.920964
6599.1311 0.920015
6599.1294 0.919248
6599.1278 0.918384
6599.1262 0.917509
6599.1245 0.916812
6599.1229 0.916275
6599.1212 0.915698
6599.1196 0.914992
6599.1180 0.914396
6599.1163 0.914097
6599.1147 0.914025
6599.1130 0.914179
6599.1114 0.914497
6599.1097 0.914701
6599.1081 0.914820
6599.1065 0.915155
6599.1048 0.915740
6599.1032 0.916454
6599.1015 0.917217
6599.0999 0.917898
6599.0983 0.918588
6599.0966 0.919568
6599.0950 0.920813
6599.0933 0.922116
6599.0917 0.923456
6599.0901 0.924900
6599.0884 0.926487
6599.0868 0.928175
6599.0851 0.929809
6599.0835 0.931373
6599.0819 0.933031
6599.0802 0.934821
6599.0786 0.936649
6599.0769 0.938498
6599.0753 0.940438
6599.0737 0.942494
6599.0720 0.944467
6599.0704 0.946133
