Wave;Sample;Dark;Reference
394.461;-0.946;5.174;0.000
394.626;0.691;-5.979;0.000
394.791;6.469;3.341;0.000
394.956;13.452;12.099;0.000
395.121;-0.884;-1.649;0.000
395.286;-5.353;3.168;0.000
395.451;2.591;-6.594;0.000
395.616;11.343;8.641;0.000
395.781;-1.678;10.892;0.000
395.945;7.510;8.192;0.000
396.110;7.592;2.450;0.000
396.275;1.764;5.096;0.000
396.440;0.358;-0.245;0.000
396.605;-2.191;2.905;0.000
396.770;1.510;10.073;0.000
396.935;-0.221;-3.442;0.000
397.099;-13.858;-1.206;0.000
397.264;-0.908;1.896;0.000
397.429;-15.254;-3.462;0.000
397.594;-0.992;-3.589;0.000
397.759;10.456;8.239;0.000
397.923;-5.022;1.668;0.000
398.088;-13.498;-4.485;0.000
398.253;28.135;-5.412;0.000
398.418;10.817;4.403;0.000
398.582;9.672;-7.533;0.000
398.747;-11.425;-5.428;0.000
398.912;5.900;-0.426;0.000
399.077;0.923;0.146;0.000
399.241;-0.474;6.553;0.000
399.406;-2.595;7.677;0.000
399.571;-3.972;11.086;0.000
399.736;-1.385;10.006;0.000
399.900;-3.275;5.407;0.000
400.065;6.819;-8.085;0.000
400.230;-4.384;-5.725;0.000
400.394;-3.835;6.120;0.000
400.559;-5.438;0.843;0.000
400.724;-20.903;-6.562;0.000
400.888;2.166;0.640;0.000
401.053;-10.145;-0.625;0.000
401.218;2.032;2.331;0.000
401.382;-1.032;-0.585;0.000
401.547;2.636;3.954;0.000
401.712;-0.548;-2.174;0.000
401.876;6.541;3.217;0.000
402.041;6.573;7.425;0.000
402.206;-3.143;4.636;0.000
402.370;-3.580;4.899;0.000
402.535;8.012;4.363;0.000
402.699;-10.036;-7.089;0.000
402.864;6.920;-0.945;0.000
403.029;-0.692;-6.516;0.000
403.193;-1.272;2.037;0.000
403.358;-14.707;4.477;0.000
403.522;0.824;6.694;0.000
403.687;-9.620;0.046;0.000
403.851;-14.170;-1.178;0.000
404.016;9.462;5.765;0.000
404.181;6.661;6.330;0.000
404.345;16.595;-1.839;0.000
404.510;23.378;5.355;0.000
404.674;15.656;-4.185;0.000
404.839;14.827;9.962;0.000
405.003;-0.747;-2.391;0.000
405.168;-5.071;8.523;0.000
405.332;4.345;1.913;0.000
405.497;9.046;1.998;0.000
405.661;-0.661;4.533;0.000
405.826;1.186;-3.338;0.000
405.990;-5.036;6.493;0.000
406.155;5.592;6.734;0.000
406.319;-8.511;3.062;0.000
406.483;-17.892;-5.556;0.000
406.648;-0.652;1.583;0.000
406.812;5.804;-3.034;0.000
406.977;-0.385;-4.232;0.000
407.141;4.112;7.629;0.000
407.306;6.216;4.205;0.000
407.470;-0.245;14.070;0.000
407.634;10.217;-4.773;0.000
407.799;-9.151;2.620;0.000
407.963;-8.746;2.037;0.000
408.128;-0.936;11.260;0.000
408.292;14.726;1.121;0.000
408.456;-8.999;-0.579;0.000
408.621;-2.874;13.496;0.000
408.785;8.796;12.507;0.000
408.949;3.038;4.846;0.000
409.114;-15.638;0.276;0.000
409.278;-5.251;-0.832;0.000
409.442;1.213;-3.784;0.000
409.607;7.860;9.407;0.000
409.771;-1.489;11.513;0.000
409.935;-2.809;5.817;0.000
410.100;-1.024;16.563;0.000
410.264;-8.576;5.016;0.000
410.428;-9.538;5.999;0.000
410.593;0.277;-2.071;0.000
410.757;10.795;3.684;0.000
410.921;11.396;-0.671;0.000
411.085;-5.062;-1.490;0.000
411.250;-13.066;-3.410;0.000
411.414;3.716;5.816;0.000
411.578;-15.206;-5.368;0.000
411.742;9.216;18.055;0.000
411.907;-14.983;-5.748;0.000
412.071;-4.286;7.977;0.000
412.235;-13.570;-0.883;0.000
412.399;13.929;1.228;0.000
412.564;-2.028;-2.384;0.000
412.728;1.668;5.911;0.000
412.892;14.125;7.229;0.000
413.056;-15.459;-4.357;0.000
413.220;13.743;1.565;0.000
413.384;-7.924;-2.226;0.000
413.549;-8.960;2.816;0.000
413.713;-9.620;8.827;0.000
413.877;11.816;5.152;0.000
414.041;-1.158;4.732;0.000
414.205;-8.006;1.778;0.000
414.369;-8.967;-7.748;0.000
414.533;11.094;8.198;0.000
414.698;12.945;0.646;0.000
414.862;-8.533;-2.907;0.000
415.026;4.577;0.094;0.000
415.190;1.604;7.314;0.000
415.354;3.604;1.728;0.000
415.518;14.059;-8.656;0.000
415.682;27.934;8.969;0.000
415.846;28.758;2.177;0.000
416.010;37.195;-2.937;0.000
416.174;19.346;2.563;0.000
416.338;-0.879;-2.376;0.000
416.502;-8.551;3.022;0.000
416.667;9.716;0.086;0.000
416.831;7.204;-1.142;0.000
416.995;-5.630;3.109;0.000
417.159;-17.382;2.542;0.000
417.323;-7.310;-1.609;0.000
417.487;-8.205;-10.643;0.000
417.651;-15.778;-10.350;0.000
417.815;-14.062;3.797;0.000
417.979;0.692;-0.757;0.000
418.143;-9.282;-8.084;0.000
418.307;6.102;5.230;0.000
418.471;-14.044;8.521;0.000
418.634;9.238;5.156;0.000
418.798;1.280;9.437;0.000
418.962;14.734;6.374;0.000
419.126;4.699;1.174;0.000
419.290;8.164;4.706;0.000
419.454;4.081;2.596;0.000
419.618;6.939;0.080;0.000
419.782;20.636;-1.174;0.000
419.946;45.831;-0.474;0.000
420.110;41.023;-2.805;0.000
420.274;15.108;3.087;0.000
420.438;3.926;0.833;0.000
420.601;-2.742;5.304;0.000
420.765;6.723;4.025;0.000
420.929;6.611;2.916;0.000
421.093;-6.915;-0.091;0.000
421.257;-12.232;5.329;0.000
421.421;-10.130;-3.609;0.000
421.585;-7.179;-5.340;0.000
421.748;-8.429;-0.598;0.000
421.912;18.462;0.328;0.000
422.076;3.643;13.649;0.000
422.240;3.533;-4.755;0.000
422.404;-11.842;-1.698;0.000
422.568;6.029;7.597;0.000
422.731;-4.523;4.824;0.000
422.895;6.628;2.760;0.000
423.059;15.362;4.874;0.000
423.223;-4.999;3.635;0.000
423.386;-17.691;-7.155;0.000
423.550;-0.076;5.104;0.000
423.714;-15.650;-4.743;0.000
423.878;4.878;-3.201;0.000
424.041;5.934;1.685;0.000
424.205;1.438;-0.977;0.000
424.369;9.333;2.785;0.000
424.533;10.643;-3.941;0.000
424.696;10.052;7.219;0.000
424.860;8.806;9.128;0.000
425.024;15.738;9.834;0.000
425.187;3.129;8.456;0.000
425.351;10.003;1.064;0.000
425.515;5.623;0.893;0.000
425.678;-18.709;-0.734;0.000
425.842;32.640;10.149;0.000
426.006;2.750;-2.050;0.000
426.169;6.240;3.237;0.000
426.333;18.254;7.467;0.000
426.497;3.871;-5.748;0.000
426.660;9.175;1.771;0.000
426.824;-0.222;3.083;0.000
426.988;-13.664;1.615;0.000
427.151;13.905;3.256;0.000
427.315;12.218;-6.655;0.000
427.478;2.027;1.746;0.000
427.642;0.909;3.767;0.000
427.806;9.745;11.588;0.000
427.969;-0.288;5.135;0.000
428.133;-2.542;-4.825;0.000
428.296;-5.809;-3.232;0.000
428.460;-11.647;7.025;0.000
428.623;-2.145;7.462;0.000
428.787;20.651;13.298;0.000
428.950;11.388;4.986;0.000
429.114;-18.631;-6.319;0.000
429.278;-8.188;3.157;0.000
429.441;-19.320;-2.075;0.000
