Wavelength (nm);Absorbance Solution;Transmittance Solution
494.862;0.474;33.572
495.227;0.491;32.259
495.592;0.475;33.520
495.957;0.428;37.301
496.322;0.430;37.171
496.686;0.419;38.088
497.051;0.425;37.605
497.415;0.460;34.689
497.780;0.441;36.256
498.144;0.456;34.957
498.509;0.443;36.048
498.873;0.426;37.483
499.238;0.450;35.510
499.602;0.459;34.735
499.966;0.456;34.993
500.330;0.455;35.070
500.694;0.433;36.873
501.059;0.454;35.167
501.423;0.400;39.769
501.787;0.417;38.295
502.151;0.396;40.190
502.515;0.407;39.149
502.879;0.413;38.670
503.242;0.405;39.357
503.606;0.389;40.791
503.970;0.435;36.749
504.334;0.397;40.103
504.697;0.448;35.606
505.061;0.409;39.025
505.425;0.408;39.056
505.788;0.406;39.305
506.152;0.393;40.438
506.515;0.365;43.167
506.878;0.368;42.829
507.242;0.364;43.241
507.605;0.360;43.697
507.968;0.356;44.034
508.332;0.387;41.023
508.695;0.382;41.494
509.058;0.374;42.244
509.421;0.375;42.187
509.784;0.364;43.269
510.147;0.389;40.820
510.510;0.352;44.445
510.873;0.356;44.105
511.236;0.389;40.877
511.599;0.359;43.758
511.962;0.357;43.984
512.324;0.319;48.025
512.687;0.357;43.977
513.050;0.338;45.949
513.412;0.344;45.318
513.775;0.344;45.318
514.137;0.408;39.076
514.500;0.381;41.573
514.862;0.330;46.744
515.225;0.341;45.640
515.587;0.321;47.799
515.949;0.317;48.145
516.312;0.321;47.773
516.674;0.336;46.083
517.036;0.350;44.644
517.398;0.324;47.458
517.760;0.347;44.972
518.122;0.347;44.972
518.484;0.324;47.445
518.846;0.318;48.064
519.208;0.349;44.756
519.570;0.367;42.942
519.932;0.308;49.199
520.293;0.338;45.880
520.655;0.301;50.000
521.017;0.314;48.580
521.379;0.307;49.370
521.740;0.316;48.291
522.102;0.317;48.215
522.463;0.312;48.774
522.825;0.313;48.594
523.186;0.312;48.744
523.547;0.301;50.000
523.909;0.357;43.962
524.270;0.301;50.000
524.631;0.302;49.879
524.992;0.309;49.042
525.353;0.311;48.824
525.715;0.308;49.171
526.076;0.293;50.963
526.437;0.304;49.651
526.798;0.306;49.408
527.159;0.322;47.654
527.519;0.322;47.648
527.880;0.315;48.398
528.241;0.333;46.448
528.602;0.290;51.343
528.962;0.312;48.749
529.323;0.322;47.610
529.684;0.328;46.984
530.044;0.298;50.323
530.405;0.294;50.779
530.765;0.314;48.485
531.126;0.309;49.145
531.486;0.267;54.063
531.846;0.262;54.663
532.207;0.280;52.494
532.567;0.266;54.204
532.927;0.298;50.316
533.287;0.280;52.512
533.647;0.285;51.892
534.007;0.290;51.321
534.367;0.267;54.120
534.727;0.285;51.832
535.087;0.278;52.732
535.447;0.305;49.517
535.807;0.286;51.748
536.167;0.266;54.187
536.526;0.312;48.744
536.886;0.314;48.502
537.246;0.254;55.744
537.605;0.339;45.772
537.965;0.304;49.610
538.324;0.285;51.866
538.684;0.278;52.750
539.043;0.281;52.389
539.403;0.276;52.973
539.762;0.320;47.847
540.121;0.292;50.996
540.481;0.292;51.024
540.840;0.296;50.554
541.199;0.312;48.757
541.558;0.291;51.198
541.917;0.285;51.849
542.276;0.293;50.907
542.635;0.287;51.679
542.994;0.271;53.567
543.353;0.275;53.105
543.712;0.237;57.944
544.071;0.292;50.992
544.429;0.276;53.009
544.788;0.252;56.033
545.147;0.259;55.056
545.505;0.253;55.819
545.864;0.289;51.378
546.222;0.274;53.262
546.581;0.294;50.836
546.939;0.276;53.020
547.298;0.264;54.419
547.656;0.291;51.148
548.014;0.266;54.213
548.373;0.293;50.990
548.731;0.243;57.210
549.089;0.247;56.659
549.447;0.252;55.981
549.805;0.278;52.684
550.163;0.244;56.992
550.521;0.258;55.215
550.879;0.221;60.164
551.237;0.243;57.106
551.595;0.251;56.116
551.953;0.246;56.710
552.310;0.240;57.495
552.668;0.257;55.282
553.026;0.245;56.933
553.383;0.240;57.521
553.741;0.234;58.317
554.098;0.258;55.167
554.456;0.236;58.132
