Wave;Sample;Dark;Reference
355.324;204.450;0.950;0.000
355.490;296.906;7.644;0.000
355.656;-6.063;11.919;0.000
355.822;158.866;1.439;0.000
355.989;178.807;10.483;0.000
356.155;198.522;10.080;0.000
356.321;580.065;5.005;0.000
356.487;337.107;-0.112;0.000
356.653;232.050;13.057;0.000
356.819;227.509;8.044;0.000
356.985;269.341;4.078;0.000
357.151;349.527;12.292;0.000
357.317;272.717;5.764;0.000
357.483;136.417;8.027;0.000
357.649;152.344;12.985;0.000
357.815;217.052;-1.775;0.000
357.981;523.099;4.124;0.000
358.147;249.650;1.558;0.000
358.313;120.308;8.389;0.000
358.479;234.613;7.341;0.000
358.645;462.909;10.152;0.000
358.811;220.371;8.775;0.000
358.977;482.210;0.952;0.000
359.143;122.235;-0.486;0.000
359.309;176.136;1.239;0.000
359.475;150.567;2.457;0.000
359.641;372.503;6.279;0.000
359.807;252.438;4.261;0.000
359.973;324.597;9.600;0.000
360.139;49.148;1.568;0.000
360.305;137.488;1.866;0.000
360.471;268.733;2.750;0.000
360.637;290.151;4.017;0.000
360.803;211.962;3.232;0.000
360.969;24.805;6.349;0.000
361.134;126.825;3.518;0.000
361.300;202.625;7.186;0.000
361.466;231.646;4.780;0.000
361.632;179.509;7.858;0.000
361.798;431.963;12.952;0.000
361.964;190.023;11.559;0.000
362.130;310.717;4.177;0.000
362.296;77.552;10.375;0.000
362.461;171.697;6.790;0.000
362.627;224.341;-0.077;0.000
362.793;216.953;6.733;0.000
362.959;117.974;11.461;0.000
363.125;596.020;5.526;0.000
363.291;318.002;6.024;0.000
363.456;205.494;5.687;0.000
363.622;370.196;11.845;0.000
363.788;184.042;11.072;0.000
363.954;72.626;11.017;0.000
364.120;142.022;5.467;0.000
364.285;237.260;-0.725;0.000
364.451;301.217;1.588;0.000
364.617;506.837;5.773;0.000
364.783;41.727;0.094;0.000
364.949;230.426;6.354;0.000
365.114;202.294;3.545;0.000
365.280;183.134;10.083;0.000
365.446;276.336;-1.206;0.000
365.611;220.152;4.157;0.000
365.777;401.950;8.414;0.000
365.943;242.122;8.147;0.000
366.109;94.049;0.328;0.000
366.274;320.496;3.190;0.000
366.440;509.556;8.184;0.000
366.606;85.110;2.098;0.000
366.771;108.202;7.638;0.000
366.937;85.911;5.458;0.000
367.103;201.922;4.896;0.000
367.269;306.544;2.472;0.000
367.434;228.860;9.711;0.000
367.600;255.883;12.338;0.000
367.766;82.495;6.802;0.000
367.931;222.944;7.432;0.000
368.097;328.235;-0.204;0.000
368.262;148.716;-0.704;0.000
368.428;227.560;5.634;0.000
368.594;264.189;9.690;0.000
368.759;278.819;0.782;0.000
368.925;220.291;7.681;0.000
369.091;305.604;-0.676;0.000
369.256;178.465;11.208;0.000
369.422;163.981;0.089;0.000
369.587;231.585;6.909;0.000
369.753;208.263;6.777;0.000
369.918;345.361;2.855;0.000
370.084;52.852;4.065;0.000
370.250;-40.011;0.598;0.000
370.415;76.757;-0.969;0.000
370.581;503.107;7.548;0.000
370.746;352.923;0.967;0.000
370.912;162.471;6.368;0.000
371.077;56.229;4.171;0.000
371.243;198.179;9.534;0.000
371.408;355.029;9.049;0.000
371.574;180.634;9.274;0.000
371.739;193.066;8.814;0.000
371.905;301.774;7.920;0.000
372.070;85.319;5.957;0.000
372.236;306.404;3.352;0.000
372.401;104.513;1.813;0.000
372.567;292.679;2.809;0.000
372.732;139.393;3.009;0.000
372.898;349.438;7.411;0.000
373.063;174.102;8.327;0.000
373.229;150.520;3.293;0.000
373.394;554.138;10.116;0.000
373.560;206.228;5.081;0.000
373.725;238.780;3.809;0.000
373.890;204.854;3.195;0.000
374.056;324.608;5.780;0.000
374.221;89.027;8.364;0.000
374.387;179.811;5.883;0.000
374.552;509.436;13.779;0.000
374.717;279.300;1.959;0.000
374.883;105.211;0.161;0.000
375.048;190.937;7.283;0.000
375.214;110.064;5.556;0.000
375.379;171.900;-0.705;0.000
375.544;324.726;6.418;0.000
375.710;-24.965;6.518;0.000
375.875;298.914;8.685;0.000
376.040;435.778;5.640;0.000
376.206;110.933;7.699;0.000
376.371;473.108;10.892;0.000
376.536;167.487;7.055;0.000
376.702;222.113;3.928;0.000
376.867;-24.566;5.502;0.000
377.032;226.561;5.398;0.000
377.198;130.784;-3.386;0.000
377.363;286.125;8.588;0.000
377.528;194.293;3.281;0.000
377.694;234.882;5.824;0.000
377.859;189.004;8.665;0.000
378.024;206.911;6.652;0.000
378.189;229.696;2.713;0.000
378.355;536.731;4.240;0.000
378.520;329.138;5.769;0.000
378.685;462.648;3.127;0.000
378.850;311.640;9.762;0.000
379.016;93.539;9.516;0.000
379.181;390.076;5.056;0.000
379.346;280.635;13.931;0.000
379.511;224.408;8.540;0.000
379.676;363.541;-1.281;0.000
379.842;254.506;-2.690;0.000
380.007;278.434;5.755;0.000
380.172;376.553;4.583;0.000
380.337;250.282;-1.051;0.000
380.502;170.826;7.414;0.000
380.668;49.569;7.688;0.000
380.833;38.924;1.173;0.000
380.998;95.083;1.093;0.000
381.163;206.341;5.037;0.000
381.328;286.171;7.657;0.000
381.493;317.372;-0.824;0.000
381.658;180.470;4.804;0.000
381.824;96.680;-0.738;0.000
381.989;154.746;7.784;0.000
382.154;376.877;7.674;0.000
382.319;317.752;4.854;0.000
382.484;145.219;9.706;0.000
382.649;238.582;5.634;0.000
382.814;193.706;0.978;0.000
382.979;191.712;6.375;0.000
383.144;70.456;5.548;0.000
383.309;154.006;7.711;0.000
383.474;207.936;8.819;0.000
383.639;179.699;-0.848;0.000
383.805;352.755;4.378;0.000
383.970;199.674;7.541;0.000
384.135;331.940;8.822;0.000
384.300;160.109;12.623;0.000
384.465;212.733;9.294;0.000
384.630;184.351;2.541;0.000
384.795;51.173;4.429;0.000
384.960;76.053;6.296;0.000
385.125;173.421;12.124;0.000
385.290;-22.218;3.483;0.000
385.455;213.103;2.356;0.000
385.620;212.912;3.551;0.000
385.785;151.927;6.773;0.000
385.950;278.615;0.233;0.000
386.115;78.934;9.572;0.000
386.280;-2.599;5.918;0.000
386.444;137.280;3.471;0.000
386.609;166.063;2.306;0.000
386.774;156.102;2.847;0.000
386.939;137.457;7.230;0.000
387.104;459.277;5.192;0.000
387.269;254.241;5.800;0.000
387.434;49.138;3.954;0.000
387.599;7.522;8.113;0.000
387.764;372.681;4.826;0.000
387.929;307.404;-3.031;0.000
388.094;195.689;0.808;0.000
388.258;49.022;5.163;0.000
388.423;203.844;7.230;0.000
388.588;211.092;6.438;0.000
388.753;376.019;5.904;0.000
388.918;-66.800;2.231;0.000
389.083;305.476;3.512;0.000
389.248;302.495;3.495;0.000
389.412;403.183;8.603;0.000
389.577;213.272;4.913;0.000
389.742;406.462;7.804;0.000
389.907;443.470;2.801;0.000
390.072;384.913;4.057;0.000
390.236;457.065;3.754;0.000
390.401;263.745;5.285;0.000
390.566;191.019;6.198;0.000
390.731;204.756;1.668;0.000
390.896;178.210;13.293;0.000
391.060;-17.098;-1.598;0.000
391.225;285.784;1.697;0.000
391.390;194.257;7.417;0.000
391.555;294.631;6.641;0.000
391.719;329.664;4.248;0.000
391.884;-73.475;0.745;0.000
392.049;278.624;-4.515;0.000
392.214;177.904;1.015;0.000
392.378;131.596;5.938;0.000
392.543;283.497;2.740;0.000
392.708;184.008;2.349;0.000
392.872;260.719;7.015;0.000
393.037;394.192;9.383;0.000
393.202;-3.851;6.425;0.000
393.367;169.956;7.594;0.000
393.531;313.957;12.239;0.000
393.696;88.839;3.356;0.000
393.861;203.855;7.299;0.000
394.025;394.310;9.315;0.000
394.190;412.129;0.703;0.000
394.354;298.617;1.455;0.000
394.519;517.160;-9.586;0.000
394.684;721.415;8.842;0.000
394.848;751.697;16.030;0.000
395.013;222.301;5.569;0.000
395.178;92.803;5.735;0.000
395.342;170.468;1.319;0.000
395.507;228.184;3.942;0.000
395.671;287.679;0.590;0.000
395.836;269.726;1.949;0.000
396.001;128.760;3.397;0.000
396.165;348.492;0.871;0.000
396.330;343.823;-0.368;0.000
396.494;433.004;5.162;0.000
396.659;382.648;0.921;0.000
396.823;121.566;-3.360;0.000
396.988;531.969;2.816;0.000
397.152;58.432;0.472;0.000
397.317;559.679;10.760;0.000
397.481;124.335;10.575;0.000
397.646;223.253;2.922;0.000
397.810;106.341;-0.245;0.000
397.975;172.728;10.343;0.000
398.139;165.262;4.985;0.000
398.304;-2.735;1.489;0.000
398.468;92.807;2.225;0.000
398.633;340.482;6.180;0.000
398.797;180.234;-2.910;0.000
398.962;199.987;5.141;0.000
399.126;312.331;0.688;0.000
399.291;115.710;4.454;0.000
399.455;216.381;9.213;0.000
399.620;403.962;5.337;0.000
399.784;-23.669;2.223;0.000
399.948;376.074;9.267;0.000
400.113;230.345;2.770;0.000
400.277;130.028;2.915;0.000
400.442;132.003;2.139;0.000
400.606;297.907;4.207;0.000
400.770;248.900;5.003;0.000
400.935;37.849;5.327;0.000
401.099;103.337;8.410;0.000
401.264;179.472;10.155;0.000
401.428;116.647;-0.506;0.000
401.592;167.230;10.331;0.000
401.757;119.352;-0.556;0.000
401.921;-39.507;1.249;0.000
402.085;271.247;3.519;0.000
402.250;205.501;5.796;0.000
402.414;-1.884;0.840;0.000
402.578;349.751;2.765;0.000
402.743;63.037;-2.368;0.000
402.907;86.714;-2.758;0.000
403.071;267.749;5.202;0.000
403.235;364.784;4.288;0.000
403.400;438.762;-1.776;0.000
403.564;424.254;5.995;0.000
403.728;348.014;0.565;0.000
403.893;392.175;8.382;0.000
404.057;896.582;2.040;0.000
404.221;2090.350;6.751;0.000
404.385;1753.213;9.891;0.000
404.550;1188.086;9.497;0.000
404.714;452.275;4.166;0.000
404.878;336.497;3.264;0.000
405.042;592.448;3.410;0.000
405.206;472.381;8.750;0.000
405.371;276.067;-1.223;0.000
405.535;213.291;3.141;0.000
405.699;125.780;2.359;0.000
405.863;118.749;8.656;0.000
406.027;233.402;3.103;0.000
406.192;170.031;1.485;0.000
406.356;218.097;3.765;0.000
406.520;159.427;-1.586;0.000
406.684;162.445;4.675;0.000
406.848;349.487;6.168;0.000
407.012;144.189;4.853;0.000
407.177;411.100;2.667;0.000
407.341;214.362;3.440;0.000
407.505;362.263;12.802;0.000
407.669;270.166;5.376;0.000
407.833;125.999;-1.018;0.000
407.997;483.516;7.687;0.000
408.161;491.025;2.015;0.000
408.325;247.496;-1.216;0.000
408.489;168.466;10.012;0.000
408.653;339.738;7.399;0.000
408.818;284.569;7.201;0.000
408.982;218.144;-1.244;0.000
409.146;0.692;5.164;0.000
409.310;173.345;2.335;0.000
409.474;207.584;-1.311;0.000
409.638;240.501;1.588;0.000
409.802;463.624;2.146;0.000
409.966;183.194;-2.796;0.000
410.130;414.796;7.064;0.000
410.294;185.170;5.792;0.000
410.458;221.961;4.385;0.000
410.622;388.757;11.827;0.000
410.786;269.619;7.826;0.000
410.950;155.572;5.072;0.000
411.114;173.667;8.251;0.000
411.278;229.439;1.711;0.000
411.442;309.396;10.048;0.000
411.606;360.162;1.870;0.000
411.770;336.059;5.406;0.000
411.934;306.019;4.346;0.000
412.098;564.042;2.405;0.000
412.262;136.424;15.402;0.000
412.425;-35.072;6.953;0.000
412.589;168.686;7.470;0.000
412.753;248.977;-1.452;0.000
412.917;277.991;8.156;0.000
413.081;312.488;8.201;0.000
413.245;394.920;7.300;0.000
413.409;277.798;10.860;0.000
413.573;113.228;6.009;0.000
413.737;319.712;4.236;0.000
413.900;413.381;4.802;0.000
414.064;336.603;9.125;0.000
414.228;185.173;7.445;0.000
414.392;18.667;8.878;0.000
414.556;89.004;3.875;0.000
414.720;378.187;9.159;0.000
414.884;121.102;4.469;0.000
415.047;486.229;6.492;0.000
415.211;384.492;11.306;0.000
415.375;797.246;5.858;0.000
415.539;2795.102;9.752;0.000
415.703;5711.557;25.288;0.000
415.866;2870.751;21.909;0.000
416.030;761.871;4.957;0.000
416.194;630.537;1.873;0.000
416.358;1051.303;11.871;0.000
416.521;342.146;6.318;0.000
416.685;379.827;1.774;0.000
416.849;-111.454;4.234;0.000
