V(V): 0.0002	Step NA->	0
Time(s):	Sweep V(V):	Ch1 I(A) 0.0183K
4.187100E+1	-5.710000E-1	4.750000E-14
4.197000E+1	-5.700000E-1	2.639000E-13
4.206700E+1	-5.690000E-1	1.636000E-13
4.216400E+1	-5.680000E-1	1.900000E-13
4.226100E+1	-5.670000E-1	6.069500E-13
4.236100E+1	-5.660000E-1	1.372000E-13
4.245900E+1	-5.650000E-1	2.903000E-13
4.255700E+1	-5.640000E-1	6.016500E-13
4.265400E+1	-5.630000E-1	9.500000E-14
4.275100E+1	-5.620000E-1	-3.695000E-14
4.284800E+1	-5.610000E-1	3.272000E-13
4.294500E+1	-5.600000E-1	1.636000E-13
4.304300E+1	-5.590000E-1	4.908500E-13
4.314100E+1	-5.580000E-1	5.594500E-13
4.323800E+1	-5.570000E-1	3.694500E-13
4.333700E+1	-5.560000E-1	2.375000E-13
4.343300E+1	-5.550000E-1	2.058500E-13
4.353000E+1	-5.540000E-1	1.847000E-13
4.362800E+1	-5.530000E-1	1.530500E-13
4.372700E+1	-5.520000E-1	4.433500E-13
4.382400E+1	-5.510000E-1	2.850000E-13
4.392200E+1	-5.500000E-1	8.444500E-13
4.402100E+1	-5.490000E-1	3.483500E-13
4.412000E+1	-5.480000E-1	3.430500E-13
4.421700E+1	-5.470000E-1	4.750000E-14
4.431600E+1	-5.460000E-1	1.003000E-13
4.441200E+1	-5.450000E-1	1.900000E-13
4.450800E+1	-5.440000E-1	-1.214000E-13
4.460500E+1	-5.430000E-1	2.111000E-13
4.470400E+1	-5.420000E-1	-6.597000E-13
4.480000E+1	-5.409999E-1	1.636000E-13
4.489600E+1	-5.400000E-1	3.958500E-13
4.499400E+1	-5.390000E-1	-4.220000E-14
4.509100E+1	-5.380000E-1	3.853000E-13
4.519000E+1	-5.370000E-1	-2.110000E-14
4.528700E+1	-5.360000E-1	3.325000E-13
4.538500E+1	-5.350000E-1	3.483500E-13
4.548100E+1	-5.340000E-1	1.266500E-13
4.557800E+1	-5.330000E-1	5.804999E-14
4.567600E+1	-5.320000E-1	1.266500E-13
4.577200E+1	-5.310000E-1	2.269500E-13
4.587000E+1	-5.300000E-1	2.216500E-13
4.596700E+1	-5.290000E-1	1.953000E-13
4.606600E+1	-5.280000E-1	3.325000E-13
4.616500E+1	-5.270000E-1	1.530500E-13
4.626500E+1	-5.260000E-1	1.161000E-13
4.636300E+1	-5.250000E-1	3.061000E-13
4.646100E+1	-5.240000E-1	6.703000E-13
4.655700E+1	-5.230000E-1	4.539000E-13
4.665400E+1	-5.220000E-1	2.533500E-13
4.675000E+1	-5.210000E-1	3.589000E-13
4.684800E+1	-5.200000E-1	6.860000E-14
4.694500E+1	-5.190000E-1	1.372000E-13
