V(V): -0.13	Step NA->	0
Time(s):	Sweep V(V):	Ch1 I(A) 0.0171K
4.997900E+1	2.120000E-3	4.017435E-11
5.007500E+1	2.130000E-3	4.042240E-11
5.017300E+1	2.140000E-3	4.013740E-11
5.027200E+1	2.150000E-3	3.998960E-11
5.036900E+1	2.160000E-3	3.983655E-11
5.046600E+1	2.170000E-3	3.968350E-11
5.056400E+1	2.180000E-3	3.955685E-11
5.066100E+1	2.190000E-3	4.004770E-11
5.075800E+1	2.200000E-3	3.974155E-11
5.085400E+1	2.210000E-3	4.001600E-11
5.095200E+1	2.220000E-3	3.955685E-11
5.104900E+1	2.230000E-3	3.973100E-11
5.114800E+1	2.240000E-3	3.953575E-11
5.124600E+1	2.250000E-3	3.939850E-11
5.134300E+1	2.260000E-3	3.953575E-11
5.143900E+1	2.270000E-3	3.953575E-11
5.153500E+1	2.280000E-3	3.940905E-11
5.163200E+1	2.290000E-3	3.965710E-11
5.173000E+1	2.300000E-3	3.942490E-11
5.182800E+1	2.310000E-3	3.914520E-11
5.192700E+1	2.320000E-3	3.902905E-11
5.202500E+1	2.330000E-3	3.909240E-11
5.212200E+1	2.340000E-3	3.916630E-11
5.221800E+1	2.350000E-3	3.910295E-11
5.231400E+1	2.360000E-3	3.931405E-11
5.241000E+1	2.370000E-3	3.923490E-11
5.250600E+1	2.380000E-3	3.903965E-11
5.260400E+1	2.390000E-3	3.915575E-11
5.270300E+1	2.400000E-3	3.916100E-11
5.280200E+1	2.410000E-3	3.894465E-11
5.290000E+1	2.420000E-3	3.921905E-11
5.299900E+1	2.430000E-3	3.895520E-11
5.309700E+1	2.440000E-3	3.917685E-11
5.319400E+1	2.450000E-3	3.884965E-11
5.329200E+1	2.460000E-3	3.925075E-11
5.338900E+1	2.470000E-3	3.878100E-11
5.348600E+1	2.480000E-3	3.880215E-11
5.358200E+1	2.490000E-3	3.896045E-11
5.368000E+1	2.500000E-3	3.883905E-11
5.377900E+1	2.510000E-3	3.880740E-11
5.387600E+1	2.520000E-3	3.901325E-11
5.397200E+1	2.530000E-3	3.901325E-11
5.406800E+1	2.540000E-3	3.916630E-11
5.416500E+1	2.550000E-3	3.884965E-11
5.426200E+1	2.560000E-3	3.897630E-11
